address,lng,lat
"3 WALPOLE ST, DOVER, MA, 02030",-71.27968,42.243744
"246 ROUTE 100, WEST DOVER, VT, 05356",,
"1122 MAIN STREET, DUBLIN, NH, 03444",-72.06022,42.90594
"71 WEST MAIN ST, DUDLEY, MA, 01571",-71.89602,42.045628
"45 READE PLACE, POUGHKEEPSIE, NY, 12601",-73.93533,41.694508
"7 MEMORIAL DRIVE, EAST GRANBY, CT, 06026",-72.727806,41.94175
"225 COLUMBIA TURNPIKE, RENSSELAER, NY, 12144",-73.732,42.617336
"1 PLAINS ROAD, MOODUS, CT, 06469",-72.44901,41.498196
"GOVERNOR BILL O'NEILL DRIVE, EAST HAMPTON, CT, 06424",,
"31 SCHOOL STREET, EAST HARTFORD, CT, 06108",-72.61123,41.7802
"471 NORTH HIGH STREET, EAST HAVEN, CT, 06512",-72.866844,41.29269
"32 PAYSON AVENUE, EASTHAMPTON, MA, 01027",-72.67107,42.266018
"33 ARBOR WAY, ELLINGTON, CT, 06029",-72.46372,41.904312
"5 NORTH PARK PLACE, FAIR HAVEN, VT, 05743",-73.265495,43.594845
"100 REEF ROAD, FAIRFIELD, CT, 06824",-73.2567,41.139755
"1 FLORAL BLVD, GREAT NECK, NY, 11022",,
"1327 16TH ST., FORT LEE, NJ, 07024",-73.981094,40.844006
"182 HOWARD HILL RD, FOSTER, RI, 02825",-71.72151,41.782433
"8 CHESTNUT STREET, FOXBORO, MA, 02035",-71.25886,42.074703
"1 WILLIAM H. WELCH WAYFRAMINGHAM, FRAMINGHAM, MA, 01702",-71.41749,42.279793
"40 N. OCEAN AVENUE, FREEPORT, NY, 11520",,
"349 STEWART AVENUE, GARDEN CITY, NY, 11530",,
"560 MAIN ST, GARDNER, MA, 01440",-71.98506,42.568214
"2143 MAIN ST., GLASTONBURY, CT, 06033",-72.608116,41.708183
"162 CHOPMIST HILL ROAD, CHEPACHET, RI, 02814",-71.669174,41.89736
"1000 MONTAUK HWY, WEST ISLIP, NY, 11795",-73.294556,40.695873
"40A MAIN ST, GOSHEN, MA, 01032",-72.78917,42.43088
"28 PROVIDENCE ROAD, GRAFTON, MA, 01519",,
"321 HIGH STREET, GREENFIELD, MA, 01301",-72.581726,42.603493
"11 BRUCE PLACE, GREENWICH, CT, 06830",-73.62558,41.02544
"99 PLEASANT STREET, GROTON, MA, 01450",-71.58039,42.60945
"2228 WESTERN AVENUE, GUILDERLAND, NY, 12084",-73.90367,42.700764
"23 KILLINGWORTH RD, HIGGANUM, CT, 06441",-72.55846,41.495846
"131 RUSSELL STREET, HADLEY, MA, 01035",-72.59167,42.342155
"2900 DIXWELL AVE., HAMDEN, CT, 06518",-72.90162,41.38345
"253 HIGH STREET, HARTFORD, CT, 06103",-72.67834,41.77177
"40 AYER ROAD, HARVARD, MA, 01451",-71.58453,42.502926
"100 BENTLEY DRIVE, HARWINTON, CT, 06791",-73.07236,41.766357
"300 HAWORTH AVENUE, HAWORTH, NJ, 07641",-73.988106,40.960644
"85 WALL ST., HEBRON, CT, 06248",-72.36331,41.664875
"99 NICHOLAS COURTS, HEMPSTEAD, NY, 11550",-73.623436,40.709763
"106 HUDSON STREET, HOBOKEN, NJ, 07030",-74.02976,40.73741
"27 STURBRIDGE RD., HOLLAND, MA, 01521",-72.16109,42.06576
"9 SILVER LAKE ROAD, HOLLIS, NH, 03049",-71.59173,42.744057
"550 WASHINGTON STREET, HOLLISTON, MA, 01746",-71.42763,42.207188
"138 APPLETON ST, HOLYOKE, MA, 01040",-72.60314,42.20124
"24 MAIN STREET, HOOSICK FALLS, NY, 12090",-73.3506,42.900867
"406 WOODVILLE ROAD, HOPKINTON, RI, 02833",-71.77584,41.46065
"74 MAIN STREET, HOPKINTON, MA, 01748",-71.52395,42.227825
"257 CORNELISON AVENUE, JERSEY CITY, NJ, 07302",-74.06141,40.723263
"26 MAIN STREET, JAFFREY, NH, 03452",-72.02377,42.81489
"400 MARLBORO STREET, KEENE, NH, 03431",-72.26376,42.92323
"32 STEPPINGSTONE LANE, KINGS POINT, NY, 11024",-73.75622,40.815697
"15 VANDERBILT DRIVE, GREAT NECK, NY, 11020",-73.71991,40.76688
"90 SOUTH MAIN STREET, LEICESTER, MA, 01524",-71.90574,42.2446
"200 MANNVILLE STREET, LEICESTER, MA, 01524",-71.894,42.257988
"30 7TH AVENUE, NEW YORK, NY, 10011",-74.00042,40.73755
"100 EAST 77TH STREET, NEW YORK, NY, 10075",-73.96135,40.774265
"29 CHURCH STREET, LEOMINSTER, MA, 01453",-71.76068,42.528194
"95 MONTAGUE ROAD, LEVERETT, MA, 01054",-72.49818,42.464558
"100 OLD RIVER ROAD, LINCOLN, RI, 02865",-71.41429,41.905727
"500 GREAT RD, LITTLETON, MA, 01460",-71.48258,42.55309
"1 WEST CHESTER STREET, LONG BEACH, NY, 11561",,
"270-05 76ST AVENUE, NEW HYDE PARK, NY, 11040",,
"34 WILLIAMS STREET, LONGMEADOW, MA, 01106",-72.58016,42.05023
"612 CHAPIN ST, LUDLOW, MA, 01056",-72.47464,42.175957
"655 MASS. AVE., LUNENBURG, MA, 01462",-71.739586,42.59738
"1 COLUMBUS DR AVENUE, LYNBROOK, NY, 11563",-73.6741,40.657692
"9 CAMPUS DRIVE, MADISON, CT, 06443",-72.57463,41.296284
"1 BRITTON CIRCLE AVENUE, MALVERNE, NY, 11565",,
"50 WEST STREET, MANSFIELD, MA, 02048",-71.21879,42.02427
"355 BOLTON STREET, MARLBOROUGH, MA, 01752",-71.55064,42.356434
"38 DARLING HILL ROAD, MASON, NH, 03048",-71.769104,42.74538
"75 NORTH COUNTRY ROAD, PORT JEFFERSON, NY, 11777",,
"12 SOUTH CENTRAL AVENUE, MECHANICVILLE, NY, 12118",-73.68794,42.902916
"112 NORTH STREET, MEDFIELD, MA, 02052",-71.30941,42.191376
