91,32 PAYSON AVENUE,EASTHAMPTON,MA,01027
92,33 ARBOR WAY,ELLINGTON,CT,06029
93,5 NORTH PARK PLACE,FAIR HAVEN,VT,05743
94,100 REEF ROAD,FAIRFIELD,CT,06824
95,1 FLORAL BLVD,GREAT NECK,NY,11022
96,1327 16TH ST.,FORT LEE,NJ,07024
97,182 HOWARD HILL RD,FOSTER,RI,02825
98,8 CHESTNUT STREET,FOXBORO,MA,02035
99,1 WILLIAM H. WELCH WAYFRAMINGHAM,FRAMINGHAM,MA,01702
100,40 N. OCEAN AVENUE,FREEPORT,NY,11520
101,349 STEWART AVENUE,GARDEN CITY,NY,11530
102,560 MAIN ST,GARDNER,MA,01440
103,2143 MAIN ST.,GLASTONBURY,CT,06033
104,162 CHOPMIST HILL ROAD,CHEPACHET,RI,02814
105,1000 MONTAUK HWY,WEST ISLIP,NY,11795
106,40A MAIN ST,GOSHEN,MA,01032
107,28 PROVIDENCE ROAD,GRAFTON,MA,01519
108,321 HIGH STREET,GREENFIELD,MA,01301
109,11 BRUCE PLACE,GREENWICH,CT,06830
110,99 PLEASANT STREET,GROTON,MA,01450
111,2228 WESTERN AVENUE,GUILDERLAND,NY,12084
112,23 KILLINGWORTH RD,HIGGANUM,CT,06441
113,131 RUSSELL STREET,HADLEY,MA,01035
114,2900 DIXWELL AVE.,HAMDEN,CT,06518
115,253 HIGH STREET,HARTFORD,CT,06103
116,40 AYER ROAD,HARVARD,MA,01451
117,100 BENTLEY DRIVE,HARWINTON,CT,06791
118,300 HAWORTH AVENUE,HAWORTH,NJ,07641
119,85 WALL ST.,HEBRON,CT,06248
120,99 NICHOLAS COURTS,HEMPSTEAD,NY,11550
121,106 HUDSON STREET,HOBOKEN,NJ,07030
122,27 STURBRIDGE RD.,HOLLAND,MA,01521
123,9 SILVER LAKE ROAD,HOLLIS,NH,03049
124,550 WASHINGTON STREET,HOLLISTON,MA,01746
125,138 APPLETON ST,HOLYOKE,MA,01040
126,24 MAIN STREET,HOOSICK FALLS,NY,12090
