89,225 COLUMBIA TURNPIKE,RENSSELAER,NY,12144,
90,1 PLAINS ROAD,MOODUS,CT,6469,
91,20 EAST HIGH STREET,EAST HAMPTON,CT,6424,
92,31 SCHOOL STREET,EAST HARTFORD,CT,6108,
93,160 SOMERS RD,EAST LONGMEADOW,MA,1028,
94,32 PAYSON AVENUE,EASTHAMPTON,MA,1027,
95,691 MOREHOUSE ROAD,EASTON,CT,6612,
96,33 ARBOR WAY,ELLINGTON,CT,6029,
97,293 ELM ST.,ENFIELD,CT,6082,
98,3 NORTH PARK PLACE,FAIR HAVEN,VT,5743,
99,100 REEF ROAD,FAIRFIELD,CT,6824,
100,6 CHURCH ST.,FITZWILLIAM,NH,3447,
101,1 FLORAL BLVD,GREAT NECK,NY,11022,
102,1327 16TH ST.,FORT LEE,NJ,7024,
103,8 CHESTNUT STREET,FOXBORO,MA,2035,
104,1 WILLIAM H. WELCH WAYFRAMINGHAM,FRAMINGHAM,MA,1702,
105,40 N. OCEAN AVENUE,FREEPORT,NY,11520,
106,349 STEWART AVENUE,GARDEN CITY,NY,11530,
107,2143 MAIN ST,GLASTONBURY,CT,6033,
108,162 CHOPMIST HILL ROAD,CHEPACHET,RI,2814,
109,40 A MAIN ST,GOSHEN,MA,1032,
110,28 PROVIDENCE ROAD,GRAFTON,MA,1519,
111,15 NORTH GRANBY ROAD,GRANBY,CT,6035,
112,321 HIGH STREET,GREENFIELD,MA,1301,
113,11 BRUCE PLACE,GREENWICH,CT,6830,
114,99 PLEASANT STREET,GROTON,MA,1450,
115,102 NEWTOWN RD.,GROTON,CT,6340,
116,2228 WESTERN AVENUE,GUILDERLAND,NY,12084,
117,23 KILLINGWORTH ROAD,HIGGANUM,CT,6441,
118,2900 DIXWELL AVE,HAMDEN,CT,6518,
119,253 HIGH ST.,HARTFORD,CT,6103,
120,40 AYER ROAD,HARVARD,MA,1451,
121,248 HAMILTON AVE.,HASBROUCK HEIGHTS,NJ,7604,
122,85 WALL ST,HEBRON,CT,6248,
123,99 NICHOLAS COURTS,HEMPSTEAD,NY,11550,
124,10 MAIN STREETPO BOX 138,HINSDALE,NH,3451,
125,106 HUDSON STREET,HOBOKEN,NJ,7030,
126,27 STURBRIDGE RD.,HOLLAND,MA,1521,
127,6 ASH STREET,HOLLIS,NH,3049,
128,550 WASHINGTON STREET,HOLLISTON,MA,1746,
129,138 APPLETON ST,HOLYOKE,MA,1040,
130,26 MAIN STREET,JAFFREY,NH,3452,
131,1651 ATWOOD AVENUE,JOHNSTON,RI,2919,
132,400 MARLBORO STREET,KEENE,NH,3431,
133,183 ROUTE 81,KILLINGWORTH,CT,6419,
134,32 STEPPINGSTONE LANE,KINGS POINT,NY,11024,
135,200 MANNVILLE STREET,LEICESTER,MA,1524,
136,30 7TH AVENUE,NEW YORK,NY,10011,
137,100 EAST 77TH STREET,NEW YORK,NY,10075,
138,6 WALKER ST.,LENOX,MA,1240,
139,29 CHURCH ST,LEOMINSTER,MA,1453,
140,95 MONTAGUE ROAD,LEVERETT,MA,1054,
141,100 OLD RIVER RD,LINCOLN,RI,2865,
142,500 GREAT RD,LITTLETON,MA,1460,
143,1 WEST CHESTER STREET,LONG BEACH,NY,11561,
144,270-05 76ST AVENUE,NEW HYDE PARK,NY,11040,
145,2 HOSPITAL DRIVE,LOWELL,MA,1852,
146,612 CHAPIN ST,LUDLOW,MA,1056,
147,655 MASSACHUSETTS AVE.,LUNENBURG,MA,1462,
148,1 COLUMBUS DR AVENUE,LYNBROOK,NY,11563,
149,9 CAMPUS DRIVE,MADISON,CT,6443,
150,50 WEST STREET,MANSFIELD,MA,2048,
151,355 BOLTON ST,MARLBOROUGH,MA,1752,
152,38 DARLING HILL ROAD,MASON,NH,3048,
153,240 SOUTHAMPTON ST,BOSTON,MA,2118,
154,12 SOUTH CENTRAL AVENUE,MECHANICVILLE,NY,12118,
155,112 NORTH STREET,MEDFIELD,MA,2052,
156,85 GEORGE P HASSETT DRIVE,MEDFORD,MA,2155,
157,31 BABOOSIC LAKE ROAD,MERRIMACK,NH,3054,
158,405 MAIN ST,MIDDLEFIELD,CT,6455,
159,222 MAIN ST,MIDDLETOWN,CT,6457,
160,19 GARDEN STREET,MILFORD,NH,3055,
161,9 JEPSON DR.,MILFORD,CT,6460,
162,235 CUTLER'S FARM ROAD,MONROE,CT,6468,
163,9 RIVERSIDE ST,NASHUA,NH,3062,
164,20 EAST CENTRAL ST,NATICK,MA,1760,
165,1471 HIGHLAND AVE,NEEDHAM,MA,2492,
166,116 OLD COACH ROAD,NEW BOSTON,NH,3070,
167,10 CHESTNUT STREET,NEW BRITAIN,CT,6051,
168,302 BALL POND ROAD,NEW FAIRFIELD,CT,6812,
169,83 S. PUTT CORNERS RD.,NEW PALTZ,NY,12561,
170,5 MUNICIPAL PLAZASTATE ROUTE 146,CLIFTON PARK,NY,12065,
171,7140 REPUBLIC AIRPORT,FARMINGDALE,NY,11735,
172,1485 STATE RT 9,CASTLETON,NY,12033,
173,760 TROY SCHENECTADY AVENUE,LATHAM,NY,12110,
174,1321 WASHINGTON ST.,WEST NEWTON,MA,2465,
175,3 MAIN STREET,NEWTOWN,CT,6470,
176,102 SOUTH WASHINGTON STREET,NORTH ATTLEBORO,MA,2760,
177,4233 KENNEDY BLVD.,NORTH BERGEN,NJ,7047,
178,15 BEDFORD RD,ARMONK,NY,10504,
179,133 BLOOMING GROVE DRIVE,TROY,NY,12180,
180,11 BROADWAY,NORTH HAVEN,CT,6473,
181,1967 MINERAL SPRING AVE,PROVIDENCE,RI,2904,
182,270 PARK AVENUE,HUNTINGTON,NY,11743,
183,300 COMMUNITY DRIVE,MANHASSET,NY,11030,
184,100 BRIDGE RD,FLORENCE,MA,1062,
185,211 MAIN ST.,NORTHBOROUGH,MA,1532,
186,1 HOPE STREET,WHITINSVILLE,MA,1588,
187,79 MIDDLEVILLE ROAD,NORTHPORT,NY,11768,
188,301 EAST MAIN STREET,BAY SHORE,NY,11706,
189,137 NAHATAN ST,NORWOOD,MA,2062,
190,453 BROADWAY,NORWOOD,NJ,7648,
191,WEST 116TH STREET AND BROADWAY,NEW YORK,NY,10027,
192,560 W 168 STREET,NEW YORK,NY,10032,
193,69 LYME ST,OLD LYME,CT,6371,
194,279 BOSTON POST ROAD,ORANGE,CT,6477,
195,121 ROOSEVELT AVE.,PAWTUCKET,RI,2860,
196,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,
197,59 MAIN STREET,PEPPERELL,MA,1463,
198,73 GROVE STREET,PETERBOROUGH,NH,3458,
199,39 ALLEN STREET,PITTSFIELD,MA,1201,
200,157 SOUTH STREET,PLAINVILLE,MA,2762,
201,500 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,
202,670 STONELEIGH AVE,CARMEL,NY,10512,
203,670 STONLEIGH AVE,CARMEL,NY,10512,
204,3 KENNEDY DR,PUTNAM,CT,6260,
205,2 ST. FRANCIS PLACE,RENSSELAER,NY,12144,
206,1575 LOUISQUISSET PIKE,LINCOLN,RI,2865,
207,311 DANIELSON PIKE,NORTH SCITUATE,RI,2857,
208,234 MAIN ST.,RIDGEFIELD PARK,NJ,7660,
209,23 GOVERNOR ST,RIDGEFIELD,CT,6877,
210,76 EAST RIDGE RD,RIDGEFIELD,CT,6877,
211,158 MAIN ST,RINDGE,NH,3461,
212,699 OLD MAIN STREET,ROCKY HILL,CT,6067,
213,101 PRINCETOWN ROAD,ROTTERDAM,NY,12306,
214,46 DIAMOND RUN MALL PLACE,RUTLAND,VT,5701,
215,242 MAIN STREET,RUTLAND,MA,1543,
216,26 TIBBITS LANE,PORT WASHINGTON,NY,11050,
217,211 CHURCH STREET,SARATOGA SPRINGS,NY,12866,
218,474 BROADWAY,SARATOGA SPRINGS,NY,12866,
219,15 CROSSING BLVD.,CLIFTON PARK,NY,12065,
220,8 HEMPHILL PLACE,MALTA,NY,12020,
221,1583 ROUTE 9,FORT EDWARD,NY,12828,
222,130 PRINCETOWN PLAZA,SCHENECTADY,NY,12306,
223,531 LIBERTY ST.,SCHENECTADY,NY,12305,
224,1797 COLUMBIA TURNPIKE,CASTLETON,NY,12033,
225,4 NORTH TEN BROECK STREET,SCOTIA,NY,12302,
226,394 NICOLLS ROAD,EAST SETAUKET,NY,11733,
227,213 SOUTH MAIN STREET,SHARON,MA,2067,
228,9 RT 38 NORTH,SHERMAN,CT,6784,
229,98 MAPLE AVE,SHREWSBURY,MA,1545,
230,777 NORTH BROADWAY,SLEEPY HOLLOW,NY,10591,
231,28 BEEKMAN AVENUE,TARRYTOWN,NY,10591,
232,215 PLEASANT VIEW AVENUE,SMITHFIELD,RI,2917,
233,6 NEWBURY ST.,SOMERVILLE,MA,2144,
234,220 WASHINGTON ST.,SOMERVILLE,MA,2143,
