Participant,CollectionSite,Address,City,State,Zip,MapURL
ALAMO HEIGHTS POLICE DEPARTMENT,ALAMO HEIGHTS POLICE DEPARTMENT,6116 BROADWAY,SAN ANTONIO,TX,78209,"http://maps.google.com/maps?q=6116 BROADWAY,+SAN ANTONIO,+TX+78209&hl=en"
ALAMO POLICE DEPARTMENT,ALAMO POLICE DEPARTMENT,423 N. TOWER ROAD,ALAMO,TX,78516,"http://maps.google.com/maps?q=423 N. TOWER ROAD,+ALAMO,+TX+78516&hl=en"
ALICE POLICE DEPARTMENT,ALICE POLICE DEPARTMENT,415 E. MAIN,ALICE,TX,78332,"http://maps.google.com/maps?q=415 E. MAIN,+ALICE,+TX+78332&hl=en"
ALTON POLICE DEPARTMENT,ALTON POLICE DEPARTMENT,509 SOUTH ALTON BLVD,ALTON,TX,78573,"http://maps.google.com/maps?q=509 SOUTH ALTON BLVD,+ALTON,+TX+78573&hl=en"
AUSTIN POLICE DEPARTMENT,HOUSEHOLD HAZARDOUS WASTE FACILITY,2514 BUSINESS CENTER DRIVE,AUSTIN,TX,78744,"http://maps.google.com/maps?q=2514 BUSINESS CENTER DRIVE,+AUSTIN,+TX+78744&hl=en"
BANDERA COUNTY SHERIFF'S OFFICE,BANDERA CITY HALL,511 MAIN STREET,BANDERA,TX,78003,"http://maps.google.com/maps?q=511 MAIN STREET,+BANDERA,+TX+78003&hl=en"
BANDERA COUNTY SHERIFF'S OFFICE,LAKEHILLS LIBRARY,7200 FM 1283,LAKEHILLS,TX,78063,"http://maps.google.com/maps?q=7200 FM 1283,+LAKEHILLS,+TX+78063&hl=en"
BASTROP COUNTY SHERIFF'S OFFICE,TRACTOR SUPPLY COMPANY,441 TEXAS 71,BASTROP,TX,78602,"http://maps.google.com/maps?q=441 TEXAS 71,+BASTROP,+TX+78602&hl=en"
BAYLOR POLICE DEPARTMENT,BAYLOR POLICE DEPARTMENT,1521 SOUTH 4TH,WACO,TX,76798,"http://maps.google.com/maps?q=1521 SOUTH 4TH,+WACO,+TX+76798&hl=en"
BELLAIRE POLICE DEPARTMENT,BELLAIRE POLICE DEPARTMENT,7008 SOUTH RICE AVENUE,BELLAIRE,TX,77401,"http://maps.google.com/maps?q=7008 SOUTH RICE AVENUE,+BELLAIRE,+TX+77401&hl=en"
BELLMEAD POLICE DEPARTMENT,BELLMEAD POLICE DEPARTMENT,701 MAXFIELD ST.,WACO,TX,76705,"http://maps.google.com/maps?q=701 MAXFIELD ST.,+WACO,+TX+76705&hl=en"
BEXAR COUNTY SHERIFF'S OFFICE,H-E-B PLUS STORE #13,"4100 NEW BRAUNFELS AVENUE @ FAIR AVE.,",SAN ANTONIO,TX,78223,"http://maps.google.com/maps?q=4100 NEW BRAUNFELS AVENUE @ FAIR AVE.,,+SAN ANTONIO,+TX+78223&hl=en"
BEXAR COUNTY SHERIFF'S OFFICE,H-E-B PLUS STORE #27,8219 MARBACH RD,SAN ANTONIO,TX,78227,"http://maps.google.com/maps?q=8219 MARBACH RD,+SAN ANTONIO,+TX+78227&hl=en"
BEXAR COUNTY SHERIFF'S OFFICE,H-E-B PLUS STORE #32,9238 TX LOOP 1604,SAN ANTONIO,TX,78249,"http://maps.google.com/maps?q=9238 TX LOOP 1604,+SAN ANTONIO,+TX+78249&hl=en"
BEXAR COUNTY SHERIFF'S OFFICE,H-E-B PLUS STORE #36,"6818 S. ZARZAMORA ST.,",SAN ANTONIO,TX,78224,"http://maps.google.com/maps?q=6818 S. ZARZAMORA ST.,,+SAN ANTONIO,+TX+78224&hl=en"
BEXAR COUNTY SHERIFF'S OFFICE,H-E-B STORE #10,2130 CULEBRA,SAN ANTONIO,TX,78228,"http://maps.google.com/maps?q=2130 CULEBRA,+SAN ANTONIO,+TX+78228&hl=en"
BOERNE POLICE DEPARTMENT,BOERNE POLICE DEPARTMENT,124 OLD SAN ANTONIO ROAD,BOERNE,TX,78006,"http://maps.google.com/maps?q=124 OLD SAN ANTONIO ROAD,+BOERNE,+TX+78006&hl=en"
BROWNWOOD POLICE DEPARTMENT,AUSTIN/COGGIN LOT,1401 AUSTIN AVE,BROWNWOOD,TX,76801,"http://maps.google.com/maps?q=1401 AUSTIN AVE,+BROWNWOOD,+TX+76801&hl=en"
BROWNWOOD POLICE DEPARTMENT,BROWNWOOD POLICE DEPARTMENT,1050 W COMMERCE,BROWNWOOD,TX,76801,"http://maps.google.com/maps?q=1050 W COMMERCE,+BROWNWOOD,+TX+76801&hl=en"
BUDA POLICE DEPARTMENT,BUDA POLICE DEPARTMENT,"405 E. LOOP SOUTH, BUILDING #2",BUDA,TX,78610,"http://maps.google.com/maps?q=405 E. LOOP SOUTH, BUILDING #2,+BUDA,+TX+78610&hl=en"
