Participant,CollectionSite,Address,City,State,Zip,MapURL
10TH JUDICIAL DISTRICT DRUG TASK FORCE,COLONY SQUARE,2524 KEITH ST NW,CLEVELAND,TN,37312,"http://maps.google.com/maps?q=2524 KEITH ST NW,+CLEVELAND,+TN+37312&hl=en"
10TH JUDICIAL DISTRICT DRUG TASK FORCE,CVS,WASHINGTON AVE,ATHENS,TN,37303,"http://maps.google.com/maps?q=WASHINGTON AVE,+ATHENS,+TN+37303&hl=en"
10TH JUDICIAL DISTRICT DRUG TASK FORCE,EAST POLK CO SHERIFF DEPT,398 MAIN ST,DUCKTOWN,TN,37326,"http://maps.google.com/maps?q=398 MAIN ST,+DUCKTOWN,+TN+37326&hl=en"
10TH JUDICIAL DISTRICT DRUG TASK FORCE,WEST POLK CO SHERIFF OFFICE,164 INDUSTRIAL ACCESS CIRCLE,BENTON,TN,37307,"http://maps.google.com/maps?q=164 INDUSTRIAL ACCESS CIRCLE,+BENTON,+TN+37307&hl=en"
5TH JUDICIAL DRUG TASK FORCE,BLOUNT COUNTY JUSTICE CENTER,940 EAST LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,"http://maps.google.com/maps?q=940 EAST LAMAR ALEXANDER PARKWAY,+MARYVILLE,+TN+37804&hl=en"
ACWORTH POLICE DEPARTMENT,TARGET,3378 COBB PARKWAY,ACWORTH,GA,30101,"http://maps.google.com/maps?q=3378 COBB PARKWAY,+ACWORTH,+GA+30101&hl=en"
AFOSI DET 310,BASE EXCHANGE (BX) AIR BASE MUST HAVE ACCESS TO BASE,101 LAWSON DRIVEBLDG 1990,CHARLESTON AFB,SC,29404,"http://maps.google.com/maps?q=101 LAWSON DRIVE,+CHARLESTON AFB,+SC+29404&hl=en"
AIKEN DEPARTMENT OF PUBLIC SAFETY,CLYBURN CENTER FOR PRIMARY CARE,1000 CLYBURN PLACE,AIKEN,SC,29801,"http://maps.google.com/maps?q=1000 CLYBURN PLACE,+AIKEN,+SC+29801&hl=en"
ASHE COUNTY SHERIFF'S OFFICE,CVS PHARMACY,2 CRESCENT DRIVE,WEST JEFFERSON,NC,28694,"http://maps.google.com/maps?q=2 CRESCENT DRIVE,+WEST JEFFERSON,+NC+28694&hl=en"
ASHE COUNTY SHERIFF'S OFFICE,FOOD LION,733 E MAIN STREET,JEFFERSON,NC,28640,"http://maps.google.com/maps?q=733 E MAIN STREET,+JEFFERSON,+NC+28640&hl=en"
ASHE COUNTY SHERIFF'S OFFICE,WARRENSVILLE DRUG,5121 NC HIGHWAY 88 W,WARRENSVILLE,NC,28693,"http://maps.google.com/maps?q=5121 NC HIGHWAY 88 W,+WARRENSVILLE,+NC+28693&hl=en"
ATHENS TN POLICE DEPARTMENT,ATHENS POLICE DEPARTMENT,815 NORTH JACKSON STREET,ATHENS,TN,37303,"http://maps.google.com/maps?q=815 NORTH JACKSON STREET,+ATHENS,+TN+37303&hl=en"
AVONDALE ESTATES POLICE DEPARTMENT,AVONDALE ESTATES PD,21 N. AVONDALE PLAZA,AVONDALE ESTATES,GA,30002,"http://maps.google.com/maps?q=21 N. AVONDALE PLAZA,+AVONDALE ESTATES,+GA+30002&hl=en"
BAILEYTON POLICE DEPT.,BAILEYTON POLICE DEPT.,6530 HORTON HWY,GREENEVILLE,TN,37745,"http://maps.google.com/maps?q=6530 HORTON HWY,+GREENEVILLE,+TN+37745&hl=en"
BARNWELL COUNTY SHERIFF'S OFFICE,CVS,9912 DUNBARTON BLVD.,BARNWELL,SC,29812,"http://maps.google.com/maps?q=9912 DUNBARTON BLVD.,+BARNWELL,+SC+29812&hl=en"
BEAUFORT COUNTY SHERIFF'S OFFICE,BEAUFORT COUNTY CONVENIENCE CENTER,80 SHANKLIN RD,BEAUFORT,SC,29906,"http://maps.google.com/maps?q=80 SHANKLIN RD,+BEAUFORT,+SC+29906&hl=en"
BEAUFORT COUNTY SHERIFF'S OFFICE,SOLID WASTE & RECYCLING CENTER,104 SIMMONSVILLE ROAD,BLUFFTON,SC,29910,"http://maps.google.com/maps?q=104 SIMMONSVILLE ROAD,+BLUFFTON,+SC+29910&hl=en"
BERKELEY COUNTY SHERIFF'S OFFICE,BERKELEY COUNTY SHERIFF'S OFFICE ALVIN SUB-STATION,2184 SANTEE RIVER ROAD,SAINT STEPHEN,SC,29479,"http://maps.google.com/maps?q=2184 SANTEE RIVER ROAD,+SAINT STEPHEN,+SC+29479&hl=en"
