Participant,CollectionSite,Address,City,State,Zip,MapURL
ALEDO POLICE DEPARTMENT,ALEDO POLICE DEPARTMENT PARKING AREA ADJACENT TO NORTH SIDE OF BLDG,200 NE 2ND ST,ALEDO,IL,61231,"http://maps.google.com/maps?q=200 NE 2ND ST,+ALEDO,+IL+61231&hl=en"
ALGONQUIN POLICE,ALGONQUIN POLICE DEPARTMENT,2200 HARNISH DRIVE,ALGONQUIN,IL,60102,"http://maps.google.com/maps?q=2200 HARNISH DRIVE,+ALGONQUIN,+IL+60102&hl=en"
ALTON POLICE DEPARTMENT,ALTON POLICE DEPARTMENT,1700 E. BROADWAY,ALTON,IL,62002,"http://maps.google.com/maps?q=1700 E. BROADWAY,+ALTON,+IL+62002&hl=en"
ARCOLA POLICE DEPARTMENT,ARCOLA POLICE DEPARTMENT,114 N. LOCUST,ARCOLA,IL,61910,"http://maps.google.com/maps?q=114 N. LOCUST,+ARCOLA,+IL+61910&hl=en"
ARLINGTON HEIGHTS POLICE DEPARTMENT,ARLINGTON HEIGHTS VILLAGE HALL,33 S. ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,"http://maps.google.com/maps?q=33 S. ARLINGTON HEIGHTS ROAD,+ARLINGTON HEIGHTS,+IL+60005&hl=en"
AURORA POLICE DEPARTMENT,AURORA POLICE DEPARTMENT,1200 E. INDIAN TRAIL,AURORA,IL,60505,"http://maps.google.com/maps?q=1200 E. INDIAN TRAIL,+AURORA,+IL+60505&hl=en"
BARRINGTON POLICE DEPARTMENT,BARRINGTON PUBLIC SAFETY BUILDING,400 N. NORTHWEST HWY,BARRINGTON,IL,60010,"http://maps.google.com/maps?q=400 N. NORTHWEST HWY,+BARRINGTON,+IL+60010&hl=en"
BELLEFONTAINE NEIGHBORS POLICE DEPARTMENT,BELLEFONTAINE NEIGHBORS POLICE DEPARTMENT,9641 BELLEFONTAINE RD,SAINT LOUIS,MO,63137,"http://maps.google.com/maps?q=9641 BELLEFONTAINE RD,+SAINT LOUIS,+MO+63137&hl=en"
BELVIDERE POLICE DEPARTMENT,BELVIDERE TOWNSHIP OFFICE 9 A.M. TO NOON,8200 FAIRGROUNDS RD,BELVIDERE,IL,61008,"http://maps.google.com/maps?q=8200 FAIRGROUNDS RD,+BELVIDERE,+IL+61008&hl=en"
BERWYN POLICE DEPARTMENT,BERWYN POLICE DEPARTMENT,6401 W 31ST,BERWYN,IL,60402,"http://maps.google.com/maps?q=6401 W 31ST,+BERWYN,+IL+60402&hl=en"
BLOOMINGTON POLICE DEPARTMENT,BLOOMINGTON POLICE DEPARTMENT MAIN LOBBY,305 S. EAST ST.,BLOOMINGTON,IL,61701,"http://maps.google.com/maps?q=305 S. EAST ST.,+BLOOMINGTON,+IL+61701&hl=en"
BLOOMINGTON POLICE DEPARTMENT,KROGER PARKING LOT,528 S. COLLEGE AVE.,BLOOMINGTON,IN,47403,"http://maps.google.com/maps?q=528 S. COLLEGE AVE.,+BLOOMINGTON,+IN+47403&hl=en"
BLOOMINGTON POLICE DEPARTMENT,KROGER PHARMACY PARKING LOT,1175 COLLEGE MALL RD.,BLOOMINGTON,IN,47401,"http://maps.google.com/maps?q=1175 COLLEGE MALL RD.,+BLOOMINGTON,+IN+47401&hl=en"
BOLINGBROOK POLICE DEPARTMENT,BOLINGBROOK POLICE DEPARTMENT,375 W BRIARCLIFF ROAD,BOLINGBROOK,IL,60440,"http://maps.google.com/maps?q=375 W BRIARCLIFF ROAD,+BOLINGBROOK,+IL+60440&hl=en"
