Participant,CollectionSite,Address,City,State,Zip,MapURL
ALEXANDRIA POLICE DEPARTMENT,ALEXANDRIA TRANSFER STATION,29 SMITH RIVER RD,BRISTOL,NH,03222,"http://maps.google.com/maps?q=29 SMITH RIVER RD,+BRISTOL,+NH+03222&hl=en"
ALLENSTOWN POLICE DEPARTMENT,ALLENSTOWN POLICE DEPARTMENT DET. SGT. DAWN SHEA,40 ALLENSTOWN ROAD,ALLENSTOWN,NH,03275,"http://maps.google.com/maps?q=40 ALLENSTOWN ROAD,+ALLENSTOWN,+NH+03275&hl=en"
ALSTEAD POLICE DEPARTMENT,ALSTEAD POLICE DEPARTMENT,15 MECHANIC ST,ALSTEAD,NH,03602,"http://maps.google.com/maps?q=15 MECHANIC ST,+ALSTEAD,+NH+03602&hl=en"
AMHERST POLICE DEPARTMENT,WILDWOOD SCHOOL PARKING AREA,71 STRONG STREET,AMHERST,MA,01002,"http://maps.google.com/maps?q=71 STRONG STREET,+AMHERST,+MA+01002&hl=en"
ANDOVER POLICE DEPARTMENT,CIRCLE K,718 MAIN ST,ANDOVER,NH,03216,"http://maps.google.com/maps?q=718 MAIN ST,+ANDOVER,+NH+03216&hl=en"
ANDROSCOGGIN SHERIFF'S DEPARTMENT,POLAND TOWN OFFICE COMPLEX,1231 MAINE ST,POLAND,ME,04274,"http://maps.google.com/maps?q=1231 MAINE ST,+POLAND,+ME+04274&hl=en"
ANDROSCOGGIN SHERIFF'S DEPARTMENT,TURNER FIRE & RESCUE STATION,19 GENERAL TURNER HILL ROAD,TURNER,ME,04282,"http://maps.google.com/maps?q=19 GENERAL TURNER HILL ROAD,+TURNER,+ME+04282&hl=en"
AROOSTOOK COUNTY SHERIFF'S OFFICE,AROOSTOOK COUNTY SHERIFF'S OFFICE,25 SCHOOL STREET,HOULTON,ME,04730,"http://maps.google.com/maps?q=25 SCHOOL STREET,+HOULTON,+ME+04730&hl=en"
ASHLAND POLICE DEPARTMENT,ASHLAND POLICE DEPT.,20 HIGHLAND ST.,ASHLAND,NH,03217,"http://maps.google.com/maps?q=20 HIGHLAND ST.,+ASHLAND,+NH+03217&hl=en"
AUBURN POLICE DEPARTMENT,AUBURN POLICE DEPARTMENT COLLECTION BOX IN LOBBY,60 COURT STREET,AUBURN,ME,04210,"http://maps.google.com/maps?q=60 COURT STREET,+AUBURN,+ME+04210&hl=en"
AUBURN POLICE DEPARTMENT,BEDARD PHARMACY FRONT PARKING LOT,359 MINOT AVE,AUBURN,ME,04210,"http://maps.google.com/maps?q=359 MINOT AVE,+AUBURN,+ME+04210&hl=en"
AUGUSTA POLICE DEPARTMENT,AUGUSTA POLICE DEPARTMENT,33 UNION STREETSUITE #1,AUGUSTA,ME,04330,"http://maps.google.com/maps?q=33 UNION STREET,+AUGUSTA,+ME+04330&hl=en"
BAILEYVILLE POLICE DEPARTMENT,BAILEYVILLE POLICE DEPARTMENT,63 BROADWAY ST.,BAILEYVILLE,ME,04694,"http://maps.google.com/maps?q=63 BROADWAY ST.,+BAILEYVILLE,+ME+04694&hl=en"
BANGOR POLICE DEPARTMENT,BANGOR POLICE DEPARTMENT COLLECTION BOX IN LOBBY - JASON MCAMBLEY,240 MAIN STREET,BANGOR,ME,04401,"http://maps.google.com/maps?q=240 MAIN STREET,+BANGOR,+ME+04401&hl=en"
BAR HARBOR POLICE DEPARTMENT,BAR HARBOR POLICE DEPARTMENT,37 FIREFLY LANE,BAR HARBOR,ME,04609,"http://maps.google.com/maps?q=37 FIREFLY LANE,+BAR HARBOR,+ME+04609&hl=en"
BARNSTEAD POLICE DEPARTMENT,BARNSTEAD POLICE DEPARTMENT,119 SOUTH BARNSTEAD ROAD,CENTER BARNSTEAD,NH,03225,"http://maps.google.com/maps?q=119 SOUTH BARNSTEAD ROAD,+CENTER BARNSTEAD,+NH+03225&hl=en"
BARTLETT POLICE DEPARTMENT,BARTLETT POLICE DEPARTMENT BARTLETT TOWN HALL LOBBY,56 TOWN HALL ROAD,INTERVALE,NH,03845,"http://maps.google.com/maps?q=56 TOWN HALL ROAD,+INTERVALE,+NH+03845&hl=en"
BATH POLICE DEPARTMENT,BATH POLICE DEPARTMENT,250 WATER STREET,BATH,ME,04530,"http://maps.google.com/maps?q=250 WATER STREET,+BATH,+ME+04530&hl=en"
BELCHERTOWN POLICE DEPARTMENT,BELCHERTOWN POLICE DEPARTMENT,PARK STREETTOWN COMMON,BELCHERTOWN,MA,01007,"http://maps.google.com/maps?q=PARK STREET,+BELCHERTOWN,+MA+01007&hl=en"
BELFAST POLICE DEPARTMENT,BELFAST POLICE DEPARTMENT,112 CHURCH STREET,BELFAST,ME,04915,"http://maps.google.com/maps?q=112 CHURCH STREET,+BELFAST,+ME+04915&hl=en"
BELMONT POLICE DEPARTMENT,BELMONT NH POLICE DEPARTMENT,16 FULLER STREET,BELMONT,NH,03220,"http://maps.google.com/maps?q=16 FULLER STREET,+BELMONT,+NH+03220&hl=en"
BENNINGTON POLICE DEPARTMENT,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,811 US ROUTE 7 SOUTH,BENNINGTON,VT,05201,"http://maps.google.com/maps?q=811 US ROUTE 7 SOUTH,+BENNINGTON,+VT+05201&hl=en"
BENNINGTON POLICE DEPARTMENT,BENNINGTON POLICE DEPARTMENT FRONT LOBBY,118 SOUTH STREET,BENNINGTON,VT,05201,"http://maps.google.com/maps?q=118 SOUTH STREET,+BENNINGTON,+VT+05201&hl=en"
