Participant,CollectionSite,Address,City,State,Zip,MapURL
CLANTON POLICE DEPARTMENT,CVS PHARMACY,1105 7TH STREET NORTH,CLANTON,AL,35045,"http://maps.google.com/maps?q=1105 7TH STREET NORTH,+CLANTON,+AL+35045&hl=en"
CLARKSTON POLICE DEPARTMENT,CLARKSTON POLICE DEPARTMENT,3921 CHURCH STREET,CLARKSTON,GA,30021,"http://maps.google.com/maps?q=3921 CHURCH STREET,+CLARKSTON,+GA+30021&hl=en"
CLAYTON COUNTY POLICE DEPARTMENT,CLAYTON COUNTY POLICE DEPARTMENT HQTRS,7911 NORTH MCDONOUGH STREET,JONESBORO,GA,30236,"http://maps.google.com/maps?q=7911 NORTH MCDONOUGH STREET,+JONESBORO,+GA+30236&hl=en"
COBB COUNTY POLICE DEPARTMENT,PRECINCT 1,2380 COBB PKWY NE,MARIETTA,GA,30060,"http://maps.google.com/maps?q=2380 COBB PKWY NE,+MARIETTA,+GA+30060&hl=en"
COBB COUNTY POLICE DEPARTMENT,YMCA WEST COBB,1700 DENNIS KEMP LANE,KENNESAW,GA,30152,"http://maps.google.com/maps?q=1700 DENNIS KEMP LANE,+KENNESAW,+GA+30152&hl=en"
COOKEVILLE POLICE DEPT.,ANDY'S PHARMACY,305 W. SPRING STREET,COOKEVILLE,TN,38501,"http://maps.google.com/maps?q=305 W. SPRING STREET,+COOKEVILLE,+TN+38501&hl=en"
COOSA COUNTY SHERIFF OFFICE,COOSA COUNTY SHERIFF'S OFFICE,296 SCHOOL STREET,ROCKFORD,AL,35136,"http://maps.google.com/maps?q=296 SCHOOL STREET,+ROCKFORD,+AL+35136&hl=en"
COWETA COUNTY SHERIFF'S OFFICE,CORNERSTONE UNITED METHODIST CHURCH,2956 SHARPSBURGH-MCCOLLUM RD.,NEWNAN,GA,30265,"http://maps.google.com/maps?q=2956 SHARPSBURGH-MCCOLLUM RD.,+NEWNAN,+GA+30265&hl=en"
CRESTVIEW POLICE DEPARTMENT,WALGREEN'S,2350 S. FERDON BLVD.,CRESTVIEW,FL,32536,"http://maps.google.com/maps?q=2350 S. FERDON BLVD.,+CRESTVIEW,+FL+32536&hl=en"
CRISP COUNTY SHERIFF¿S OFFICE,CRISP COUNTY SHERIFF¿S OFFICE,196 HWY. 300 SOUTH,CORDELE,GA,31015,"http://maps.google.com/maps?q=196 HWY. 300 SOUTH,+CORDELE,+GA+31015&hl=en"
CROSSVILLE POLICE DEPT.,CROSSVILLE POLICE DEPT.,115 HENRY ST.,CROSSVILLE,TN,38555,"http://maps.google.com/maps?q=115 HENRY ST.,+CROSSVILLE,+TN+38555&hl=en"
CUMBERLAND CO. SHERIFF'S DEPARTMENT,CUMBERLAND COUNTY SHERIFF,90 JUSTICE CENTER DR,CROSSVILLE,TN,38555,"http://maps.google.com/maps?q=90 JUSTICE CENTER DR,+CROSSVILLE,+TN+38555&hl=en"
DEA - CHATTANOOGA,WALGREENS,110 NORTH MARKET ST.,CHATTANOOGA,TN,37405,"http://maps.google.com/maps?q=110 NORTH MARKET ST.,+CHATTANOOGA,+TN+37405&hl=en"
DEA - CHATTANOOGA,WALGREENS,14857 RANKIN AVENUE,DUNLAP,TN,37327,"http://maps.google.com/maps?q=14857 RANKIN AVENUE,+DUNLAP,+TN+37327&hl=en"
DEA - CHATTANOOGA,WALGREENS,2289 GUNBARREL ROAD,CHATTANOOGA,TN,37421,"http://maps.google.com/maps?q=2289 GUNBARREL ROAD,+CHATTANOOGA,+TN+37421&hl=en"
DEA - CHATTANOOGA,WALGREENS,35 25TH ST NW,CLEVELAND,TN,37311,"http://maps.google.com/maps?q=35 25TH ST NW,+CLEVELAND,+TN+37311&hl=en"
DECATUR POLICE DEPARTMENT,DECATUR POLICE DEPARTMENT,420 WEST TRINITY PLACE,DECATUR,GA,30030,"http://maps.google.com/maps?q=420 WEST TRINITY PLACE,+DECATUR,+GA+30030&hl=en"
