Participant,CollectionSite,Address,City,State,Zip,MapURL
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,ALAMEDA COUNTY FAMILY JUSTICE CENTER,470 27TH STREET,OAKLAND,CA,94612,"http://maps.google.com/maps?q=470  27TH STREET,+OAKLAND,+CA+94612&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,ALAMEDA HALL OF JUSTICE,2233 SHORELINE DRIVE,ALAMEDA,CA,94501,"http://maps.google.com/maps?q=2233 SHORELINE DRIVE,+ALAMEDA,+CA+94501&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,EAST COUNTY HALL OF JUSTICE,5151 GLEASON DRIVE,DUBLIN,CA,94568,"http://maps.google.com/maps?q=5151 GLEASON DRIVE,+DUBLIN,+CA+94568&hl=en"
ALAMEDA COUNTY DISTRICT ATTORNEY'S OFFICE,FREMONT HALL OF JUSTICE,39439 PASEO PADRE PARKWAY,FREMONT,CA,94538,"http://maps.google.com/maps?q=39439 PASEO PADRE PARKWAY,+FREMONT,+CA+94538&hl=en"
ALAMEDA COUNTY SHERIFF'S OFFICE,ALAMEDA COUNTY SHERIFF'S OFFICE EDEN TOWNSHIP SUBSTATION,15001 FOOTHILL BLVD,SAN LEANDRO,CA,94578,"http://maps.google.com/maps?q=15001 FOOTHILL BLVD,+SAN LEANDRO,+CA+94578&hl=en"
AMADOR COUNTY SHERIFF'S OFFICE,AMADOR COUNTY SHERIFF'S OFFICE,700 COURT STREET,JACKSON,CA,95642,"http://maps.google.com/maps?q=700 COURT STREET,+JACKSON,+CA+95642&hl=en"
ANAHEIM P.D. (KAISER),KAISER PERMANENTE ANAHEIM MEDICAL CENTER KRAEMER MEDICAL OFFICE BLDG. 1,3460 E. LA PALMA AVE.,ANAHEIM,CA,92806,"http://maps.google.com/maps?q=3460 E. LA PALMA AVE.,+ANAHEIM,+CA+92806&hl=en"
ANTIOCH POLICE DEPARTMENT,ANTIOCH POLICE DEPARTMENT FRONT LOBBY,300 L ST,ANTIOCH,CA,94509,"http://maps.google.com/maps?q=300 L ST,+ANTIOCH,+CA+94509&hl=en"
AUBURN POLICE DEPARTMENT,AUBURN PUBLIC WORKS,1225 LINCOLN WAY,AUBURN,CA,95603,"http://maps.google.com/maps?q=1225 LINCOLN WAY,+AUBURN,+CA+95603&hl=en"
AZUSA POLICE DEPARTMENT,AZUSA POLICE DEPT. (LOBBY) CPL. JASON KIMES,725 N. ALAMEDA AVE.6268123299X3922,AZUSA,CA,91702,"http://maps.google.com/maps?q=725 N. ALAMEDA AVE.,+AZUSA,+CA+91702&hl=en"
BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD POLICE DEPARTMENT,1601 TRUXTUN AVE,BAKERSFIELD,CA,93301,"http://maps.google.com/maps?q=1601 TRUXTUN AVE,+BAKERSFIELD,+CA+93301&hl=en"
BAKERSFIELD POLICE DEPARTMENT,BAKERSFIELD POLICE WEST COLLECTION SITE PARKING LOT ADJACENT TO PHYSICCAL ADDRESS LOCATION,3501 STOCKDALE HWY,BAKERSFIELD,CA,93309,"http://maps.google.com/maps?q=3501 STOCKDALE HWY,+BAKERSFIELD,+CA+93309&hl=en"
BALDWIN PD (KAISER),KAISER PERMANENTE BALDWIN PK MED. CTR. PARKING LOT,1011 BALDWIN PARK BLVD.,BALDWIN PARK,CA,91706,"http://maps.google.com/maps?q=1011 BALDWIN PARK BLVD.,+BALDWIN PARK,+CA+91706&hl=en"
BENICIA POLICE DEPARTMENT,BENICIA POLICE DEPARTMENT,200 EAST L STREET,BENICIA,CA,94510,"http://maps.google.com/maps?q=200 EAST L STREET,+BENICIA,+CA+94510&hl=en"
BREA POLICE DEPARTMENT,BREA POLICE DEPARTMENT FRONT DRIVEWAY,1 CIVIC CENTER CIRCLE,BREA,CA,92821,"http://maps.google.com/maps?q=1 CIVIC CENTER CIRCLE,+BREA,+CA+92821&hl=en"
BRENTWOOD POLICE DEPARTMENT,BRENTWOOD POLICE DEPARTMENT CSO MICHELE KEADY,9100 BRENTWOOD BLVD,BRENTWOOD,CA,94513,"http://maps.google.com/maps?q=9100 BRENTWOOD BLVD,+BRENTWOOD,+CA+94513&hl=en"
BUENA PARK P.D.,BUENA PARK PD LOBBY,6640 BEACH BL.,BUENA PARK,CA,90621,"http://maps.google.com/maps?q=6640 BEACH BL.,+BUENA PARK,+CA+90621&hl=en"
BUENA PARK P.D.,BUENA PARK SENIOR CENTER LOBBY,8150 KNOTT AVE,BUENA PARK,CA,90620,"http://maps.google.com/maps?q=8150 KNOTT AVE,+BUENA PARK,+CA+90620&hl=en"
BURBANK POLICE DEPARTMENT,BURBANK POLICE STATION PARKING LOT,200 N THIRD ST.,BURBANK,CA,91502,"http://maps.google.com/maps?q=200 N THIRD ST.,+BURBANK,+CA+91502&hl=en"
CA DEPT. OF PUBLIC HEALTH - FOOD & DRUG,CARMICHAEL LIBRARY,5605 MARCONI AVENUE,CARMICHAEL,CA,95608,"http://maps.google.com/maps?q=5605 MARCONI AVENUE,+CARMICHAEL,+CA+95608&hl=en"
CA DEPT. OF PUBLIC HEALTH - FOOD & DRUG,CASTRO VALLEY LIBRARY,3600 NORBRIDGE AVENUE,CASTRO VALLEY,CA,94546,"http://maps.google.com/maps?q=3600 NORBRIDGE AVENUE,+CASTRO VALLEY,+CA+94546&hl=en"
CA DEPT. OF PUBLIC HEALTH - FOOD & DRUG,ROBBIE WATERS POCKET-GREENHAVEN BRANCH LIBRARY,7335 GLORIA DRIVE,SACRAMENTO,CA,95831,"http://maps.google.com/maps?q=7335 GLORIA DRIVE,+SACRAMENTO,+CA+95831&hl=en"
CALAVERAS COUNTY SHERIFF'S OFFICE,ANGELS CAMP POLICE DEPARTMENT,200 MONTE VERDA STREET,ANGELS CAMP,CA,95222,"http://maps.google.com/maps?q=200 MONTE VERDA STREET,+ANGELS CAMP,+CA+95222&hl=en"
CALAVERAS COUNTY SHERIFF'S OFFICE,CALAVERAS COUNTY SHERIFF'S OFFICE TOYON MIDDLE SCHOOL,3412 DOUBLE SPRINGS ROAD,VALLEY SPRINGS,CA,95252,"http://maps.google.com/maps?q=3412 DOUBLE SPRINGS ROAD,+VALLEY SPRINGS,+CA+95252&hl=en"
CALIFORNIA HIGHWAY PATROL - SANTA MARIA STATION,CA. HIGHWAY PATROL OFFICER EFREM MOORE,1710 N. CARLOTTI DR.,SANTA MARIA,CA,93454,"http://maps.google.com/maps?q=1710 N. CARLOTTI DR.,+SANTA MARIA,+CA+93454&hl=en"
CALIFORNIA HIGHWAY PATROL- MONTEREY OFFICE,CALIFORNIA HIGHWAY PATROL MONTEREY OFFICE,960 E BLANCO RD,SALINAS,CA,93901,"http://maps.google.com/maps?q=960 E BLANCO RD,+SALINAS,+CA+93901&hl=en"
CAMARILLO POLICE DEPARTMENT,CAMARILLO POLICE DEPT. LOBBY,3701 E. LAS POSAS RD.,CAMARILLO,CA,93010,"http://maps.google.com/maps?q=3701 E. LAS POSAS RD.,+CAMARILLO,+CA+93010&hl=en"
CARMEL POLICE DEPARTMENT,CARMEL POLICE DEPARTMENT,SE JUNIPERO AND FOURTH AVENUE,CARMEL,CA,93921,"http://maps.google.com/maps?q=SE JUNIPERO AND FOURTH AVENUE,+CARMEL,+CA+93921&hl=en"
