Participant,CollectionSite,Address,City,State,Zip,MapURL
ABILENE POLICE DEPARTMENT,TTUHSC SCHOOL OF NURSING,1718 PINE ST,ABILENE,TX,79601,"http://maps.google.com/maps?q=1718 PINE ST,+ABILENE,+TX+79601&hl=en"
ANADARKO AGENCY,ANADARKO AGENCY,STATE HIGHWAY 281 & PARKER MCKENZIE DRIVE,ANADARKO,OK,73005,"http://maps.google.com/maps?q=STATE HIGHWAY 281 & PARKER MCKENZIE DRIVE,+ANADARKO,+OK+73005&hl=en"
ARTESIA POLICE DEPARTMENT,ARTESIA PD ARTESIA PUBLIC LIBRARY,205 W QUAY,ARTESIA,NM,88210,"http://maps.google.com/maps?q=205 W QUAY,+ARTESIA,+NM+88210&hl=en"
BIG SPRING POLICE DEPARTMENT,BIG SPRING MALL,1801 E. FM 700,BIG SPRING,TX,79720,"http://maps.google.com/maps?q=1801 E. FM 700,+BIG SPRING,+TX+79720&hl=en"
BLAINE COUNTY SHERIFF'S DEPARTMENT,WATONGA EMS BUILDING,305 W. MAIN ST,WATONGA,OK,73772,"http://maps.google.com/maps?q=305 W. MAIN ST,+WATONGA,+OK+73772&hl=en"
BRECKENRIDGE PD,FIRST BAPTIST CHURCH,301 SOUTH ROSE,BRECKENRIDGE,TX,76424,"http://maps.google.com/maps?q=301 SOUTH ROSE,+BRECKENRIDGE,+TX+76424&hl=en"
CARLSBAD PD,CARLSBAD PD,500 E. CHURCH,CARLSBAD,NM,88220,"http://maps.google.com/maps?q=500 E. CHURCH,+CARLSBAD,+NM+88220&hl=en"
COMANCHE NATION POLICE DEPARTMENT,COMANCHE NATION POLICE DEPT,8527 NW MADISCHE RD,LAWTON,OK,73507,"http://maps.google.com/maps?q=8527 NW MADISCHE RD,+LAWTON,+OK+73507&hl=en"
CONCHO AGENCY,CONCHO AGENCY,1621 B EAST HIGHWAY 66,EL RENO,OK,73036,"http://maps.google.com/maps?q=1621 B EAST HIGHWAY 66,+EL RENO,+OK+73036&hl=en"
CURRY COUNTY SHERIFF,RODEN-SMITH PHARMACY,305 E LLANO ESTACADO BLVD,CLOVIS,NM,88101,"http://maps.google.com/maps?q=305 E LLANO ESTACADO BLVD,+CLOVIS,+NM+88101&hl=en"
CUSTER COUNTY SO,HOMELAND GROCERY STORE,1200 W. GARY BLVD.,CLINTON,OK,73601,"http://maps.google.com/maps?q=1200 W. GARY BLVD.,+CLINTON,+OK+73601&hl=en"
DEA MIDLAND,ODESSA POLICE DEPARTMENT,205 N. GRANT AVENUE,ODESSA,TX,79761,"http://maps.google.com/maps?q=205 N. GRANT AVENUE,+ODESSA,+TX+79761&hl=en"
DEA MIDLAND,PALMER DRUG ABUSE PROGRAM POLO PARK RETIREMENT CENTER,2100 CASTLEFORD RD.,MIDLAND,TX,79705,"http://maps.google.com/maps?q=2100 CASTLEFORD RD.,+MIDLAND,+TX+79705&hl=en"
HOBBS POLICE DEPARTMENT,WALGREENS PARKING LOT,1401 N TURNER,HOBBS,NM,88240,"http://maps.google.com/maps?q=1401 N TURNER,+HOBBS,+NM+88240&hl=en"
HOBBS POLICE DEPARTMENT,WALGREENS PARKING LOT,801 W JOE HARVEY,HOBBS,NM,88240,"http://maps.google.com/maps?q=801 W JOE HARVEY,+HOBBS,+NM+88240&hl=en"
JACKSBORO PD,JACK COUNTY COURTHOUSE N SIDE,100 N MAIN,JACKSBORO,TX,76458,"http://maps.google.com/maps?q=100 N MAIN,+JACKSBORO,+TX+76458&hl=en"
LEVELLAND PD,SOUTH PLAINS RURAL HEALTH,1000 FM 300,LEVELLAND,TX,79336,"http://maps.google.com/maps?q=1000 FM 300,+LEVELLAND,+TX+79336&hl=en"
MINERAL WELLS PD,MINERAL WELLS PD,212 SOUTH OAK AVE,MINERAL WELLS,TX,76067,"http://maps.google.com/maps?q=212 SOUTH OAK AVE,+MINERAL WELLS,+TX+76067&hl=en"
POTTER COUNTY SO,POTTER COUNTY DETENTION CENTER,13100 NE 29TH,AMARILLO,TX,79111,"http://maps.google.com/maps?q=13100 NE 29TH,+AMARILLO,+TX+79111&hl=en"
RANDALL COUNTY SO,RANDALL COUNTY SO,9100 S. GEORGIA,AMARILLO,TX,79118,"http://maps.google.com/maps?q=9100 S. GEORGIA,+AMARILLO,+TX+79118&hl=en"
REEVES COUNTY SHERIFF'S OFFICE,REEVES COUNTY SO,1903 SOUTH CEDAR,PECOS,TX,79772,"http://maps.google.com/maps?q=1903 SOUTH CEDAR,+PECOS,+TX+79772&hl=en"
ROSWELL POLICE DEPT,NEIGHBORHOOD WATCH OFFICES,128 WEST 2ND ST,ROSWELL,NM,88201,"http://maps.google.com/maps?q=128 WEST 2ND ST,+ROSWELL,+NM+88201&hl=en"
SLATON POLICE DEPARTMENT,HEARTS TOGETHER,340 W. DIVISION ST.,SLATON,TX,79364,"http://maps.google.com/maps?q=340 W. DIVISION ST.,+SLATON,+TX+79364&hl=en"
WAYLAND BAPTIST UNIVERSITY POLICE DEPARTMENT,COVENANT HEALTH PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,TX,79072,"http://maps.google.com/maps?q=2601 DIMMITT RD,+PLAINVIEW,+TX+79072&hl=en"
