Participant,CollectionSite,Address,City,State,Zip,MapURL
ALBION DEPARTMENT OF PUBLIC SAFETY,FAMILY FARE SUPERMARKET DRUG TAKE-BACK DAYS ONLY,1406 N. EATON ST.,ALBION,MI,49224,"http://maps.google.com/maps?q=1406 N. EATON ST.,+ALBION,+MI+49224&hl=en"
ALLEGAN COUNTY SHERIFF'S OFC.,ALLEGAN COUNTY SHERIFF'S OFC.,640 RIVER ST.,ALLEGAN,MI,49010,"http://maps.google.com/maps?q=640 RIVER ST.,+ALLEGAN,+MI+49010&hl=en"
ARCHBOLD POLICE DEPARTMENT,ARCHBOLD POLICE DEPARTMENT,405 E. LUTZ RD,ARCHBOLD,OH,43502,"http://maps.google.com/maps?q=405 E. LUTZ RD,+ARCHBOLD,+OH+43502&hl=en"
ARLINGTON HEIGHTS POLICE DEPARTMENT,ARLINGTON HEIGHTS VILLAGE HALL,33 S. ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,"http://maps.google.com/maps?q=33 S. ARLINGTON HEIGHTS ROAD,+ARLINGTON HEIGHTS,+IL+60005&hl=en"
AURORA POLICE DEPARTMENT,AURORA POLICE DEPARTMENT,1200 E. INDIAN TRAIL,AURORA,IL,60505,"http://maps.google.com/maps?q=1200 E. INDIAN TRAIL,+AURORA,+IL+60505&hl=en"
BAKER COLLEGE DPS,BAKER COLLEGE OF FLINT CAMPUS SAFETY OFFICE,1050 W. BRISTOL RD,FLINT,MI,48507,"http://maps.google.com/maps?q=1050 W. BRISTOL RD,+FLINT,+MI+48507&hl=en"
BARRINGTON POLICE DEPARTMENT,BARRINGTON PUBLIC SAFETY BUILDING,400 N. NORTHWEST HWY,BARRINGTON,IL,60010,"http://maps.google.com/maps?q=400 N. NORTHWEST HWY,+BARRINGTON,+IL+60010&hl=en"
BARRY COUNTY SHERIFF'S DEPARTMENT,BARRY COUNTY SHERIFF'S DEPARTMENT,1212 W STATE STREET,HASTINGS,MI,49058,"http://maps.google.com/maps?q=1212 W STATE STREET,+HASTINGS,+MI+49058&hl=en"
BERKLEY PUBLIC SAFETY,BERKLEY PUBLIC SAFETY LOBBY,2395 W 12 MILE,BERKLEY,MI,48072,"http://maps.google.com/maps?q=2395 W 12 MILE,+BERKLEY,+MI+48072&hl=en"
BERWYN POLICE DEPARTMENT,BERWYN POLICE DEPARTMENT,6401 W 31ST,BERWYN,IL,60402,"http://maps.google.com/maps?q=6401 W 31ST,+BERWYN,+IL+60402&hl=en"
BIG RAPIDS DEPARTMENT OF PUBLIC SAFETY,BIG RAPIDS DEPARTMENT OF PUBLIC SAFETY,435 NORTH MICHIGAN AVE,BIG RAPIDS,MI,49307,"http://maps.google.com/maps?q=435 NORTH MICHIGAN AVE,+BIG RAPIDS,+MI+49307&hl=en"
BLOOMFIELD HILLS DEPARTMENT OF PUBLIC SAFETY,BLOOMFIELD HILLS DEPARTMENT OF PUBLIC SAFETY,45 E. LONG LAKE RD.,BLOOMFIELD HILLS,MI,48304,"http://maps.google.com/maps?q=45 E. LONG LAKE RD.,+BLOOMFIELD HILLS,+MI+48304&hl=en"
BLOOMFIELD HILLS DEPARTMENT OF PUBLIC SAFETY,CITY OF BLOOMFIELD HILLS DEPARTMETNOF PUBLIC SAFETY,45 E. LONG LAKE RD,BLOOMFIELD HILLS,MI,48304,"http://maps.google.com/maps?q=45 E. LONG LAKE RD,+BLOOMFIELD HILLS,+MI+48304&hl=en"
BLOOMFIELD TOWNSHIP POLICE DEPARTMENT,BLOOMFIELD TOWNSHIP POLICE DEPARTMENT,4200 TELEGRAPH ROAD,BLOOMFIELD HILLS,MI,48302,"http://maps.google.com/maps?q=4200 TELEGRAPH ROAD,+BLOOMFIELD HILLS,+MI+48302&hl=en"
BOLINGBROOK POLICE DEPARTMENT,BOLINGBROOK POLICE DEPARTMENT,375 W BRIARCLIFF ROAD,BOLINGBROOK,IL,60440,"http://maps.google.com/maps?q=375 W BRIARCLIFF ROAD,+BOLINGBROOK,+IL+60440&hl=en"
BOWLING GREEN POLICE DIVISION,BOWLING GREEN POLICE DIVISION,175 W. WOOSTER,BOWLING GREEN,OH,43402,"http://maps.google.com/maps?q=175 W. WOOSTER,+BOWLING GREEN,+OH+43402&hl=en"
BREMEN POLICE DEPARTMENT,CVS PHARMACY,1150 W. PLYMOUTH STREET,BREMEN,IN,46506,"http://maps.google.com/maps?q=1150 W. PLYMOUTH STREET,+BREMEN,+IN+46506&hl=en"
BRIDGEVIEW POLICE DEPARTMENT,BRIDGEVIEW POLICE DEPARTMENT,7500 S. OKETO AVE,BRIDGEVIEW,IL,60455,"http://maps.google.com/maps?q=7500 S. OKETO AVE,+BRIDGEVIEW,+IL+60455&hl=en"
BRIGHTON POLICE DEPARTMENT,BRIGHTON POLICE DEPARTMENT,440 S THIRD STREET,BRIGHTON,MI,48116,"http://maps.google.com/maps?q=440 S THIRD STREET,+BRIGHTON,+MI+48116&hl=en"
BROWNSTOWN TOWNSHIP POLICE DEPARTMENT,BROWNSTOWN POLICE DEPARTMENT,23125 KING ROAD,BROWNSTOWN,MI,48183,"http://maps.google.com/maps?q=23125 KING ROAD,+BROWNSTOWN,+MI+48183&hl=en"
BUFFALO GROVE POLICE DEPARTMENT,BUFFALO GROVE POLICE,46 RAUPP BLV,BUFFALO GROVE,IL,60089,"http://maps.google.com/maps?q=46 RAUPP BLV,+BUFFALO GROVE,+IL+60089&hl=en"
BUFFALO GROVE POLICE DEPARTMENT,BUFFALO GROVE POLICE @ MARIANO'S,450 W. HALF DAY ROAD,BUFFALO GROVE,IL,60089,"http://maps.google.com/maps?q=450 W. HALF DAY ROAD,+BUFFALO GROVE,+IL+60089&hl=en"
BURTON POLICE DEPARTMENT,BURTON POLICE DEPARTMENT,4090 MANOR DRIVE,BURTON,MI,48519,"http://maps.google.com/maps?q=4090 MANOR DRIVE,+BURTON,+MI+48519&hl=en"
CANTON MI POLICE DEPARTMENT,CANTON POLICE DEPARTMENT,1150 S. CANTON CENTER ROAD,CANTON,MI,48188,"http://maps.google.com/maps?q=1150 S. CANTON CENTER ROAD,+CANTON,+MI+48188&hl=en"
CARROLLTON TOWNSHIP POLICE DEPARTMENT,CARROLLTON TOWNSHIP POLICE DEPARTMENT,1645 MAPLERIDGE ROAD,SAGINAW,MI,48604,"http://maps.google.com/maps?q=1645 MAPLERIDGE ROAD,+SAGINAW,+MI+48604&hl=en"
CARY POLICE DEPARTMENT,CARY POLICE DEPARTMENT,654 VILLAGE HALL DRIVE,CARY,IL,60013,"http://maps.google.com/maps?q=654 VILLAGE HALL DRIVE,+CARY,+IL+60013&hl=en"
CASS COALITION,CASS COUNTY SHERIFF'S OFFICE PERMANENT DROP BOX AVAILABLE 24/7,321 M-62,CASSOPOLIS,MI,49031,"http://maps.google.com/maps?q=321 M-62,+CASSOPOLIS,+MI+49031&hl=en"
CASS COALITION,FAMILY FARE RED BOX AVAILABLE,56151 M-51 SOUTH,DOWAGIAC,MI,49047,"http://maps.google.com/maps?q=56151 M-51 SOUTH,+DOWAGIAC,+MI+49047&hl=en"
CASS COALITION,HOWARD TOWNSHIP HALL,1345 BARRON LAKE ROAD,NILES,MI,49120,"http://maps.google.com/maps?q=1345 BARRON LAKE ROAD,+NILES,+MI+49120&hl=en"
