Participant,CollectionSite,Address,City,State,Zip,MapURL
ADAMS COUNTY SHERIFF'S OFFICE,ADAMS COUNTY SHERIFF'S OFFICE,301 ADAMS STREET,FRIENDSHIP,WI,53934,"http://maps.google.com/maps?q=301 ADAMS STREET,+FRIENDSHIP,+WI+53934&hl=en"
ADAMS POLICE DEPARTMENT,"ADAMS POLICE DEPARTMENT 
												
													DROP BOX ONLY M-F 8:00AM-4:30PM",105 N MAIN STREET,ADAMS,WI,53910,"http://maps.google.com/maps?q=105 N MAIN STREET,+ADAMS,+WI+53910&hl=en"
ALBANY POLICE DEPARTMENT,"ALBANY POLICE DEPARTMENT 
												
													DROP BOX ONLY 24/7",206 N. WATER STREET,ALBANY,WI,53502,"http://maps.google.com/maps?q=206 N. WATER STREET,+ALBANY,+WI+53502&hl=en"
ALEDO POLICE DEPT.,"ALEDO POLICE DEPT. 
												
													PARKING LOT",200 N.E. 2ND STREET,ALEDO,IL,61231,"http://maps.google.com/maps?q=200 N.E. 2ND STREET,+ALEDO,+IL+61231&hl=en"
ALGONQUIN POLICE,ALGONQUIN POLICE DEPARTMENT,2200 HARNISH DRIVE,ALGONQUIN,IL,60102,"http://maps.google.com/maps?q=2200 HARNISH DRIVE,+ALGONQUIN,+IL+60102&hl=en"
BARABOO POLICE DEPARTMENT,"BARABOO POLICE DEPARTMENT 
												
													BOX M-F 7:30AM-4:30PM",135 4TH ST,BARABOO,WI,53913,"http://maps.google.com/maps?q=135 4TH ST,+BARABOO,+WI+53913&hl=en"
BARRINGTON POLICE DEPARTMENT,"BARRINGTON POLICE DEPARTMENT 
												
													PUBLIC SAFETY BUILDING",400 N. NORTHWEST HWY,BARRINGTON,IL,60010,"http://maps.google.com/maps?q=400 N. NORTHWEST HWY,+BARRINGTON,+IL+60010&hl=en"
BAYSIDE POLICE DEPARTMENT,BAYSIDE POLICE DEPARTMENT,9075 N REGENT ROAD,BAYSIDE,WI,53217,"http://maps.google.com/maps?q=9075 N REGENT ROAD,+BAYSIDE,+WI+53217&hl=en"
BEAVER DAM POLICE DEPARTMENT,BEAVER DAM POLICE DEPARTMENT,123 PARK AVENUE,BEAVER DAM,WI,53916,"http://maps.google.com/maps?q=123 PARK AVENUE,+BEAVER DAM,+WI+53916&hl=en"
BELLEVILLE POLICE DEPARTMENT,"BELLEVILLE POLICE DEPARTMENT 
												
													EVENT 10:00AM-2:00PM",121 FIFTH AVE,BELLEVILLE,WI,53508,"http://maps.google.com/maps?q=121 FIFTH AVE,+BELLEVILLE,+WI+53508&hl=en"
BELOIT POLICE DEPARTMENT,"BELOIT POLICE DEPARTMENT 
												
													DROP BOX ONLY",100 STATE ST,BELOIT,WI,53511,"http://maps.google.com/maps?q=100 STATE ST,+BELOIT,+WI+53511&hl=en"
BELOIT TOWN POLICE DEPARTMENT,"TOWN OF BELOIT POLICE DEPARTMENT 
												
													EVENT 10:00 AM TO 2:00 PM",1133 INMAN PKWY,BELOIT,WI,53511,"http://maps.google.com/maps?q=1133 INMAN PKWY,+BELOIT,+WI+53511&hl=en"
BENTON COUNTY SHERIFF'S OFFICE,"BENTON COUNTY SHERIFF'S OFFICE 
												
													DETECTIVE MARK PHIPPEN",113 EAST THIRD STREET,VINTON,IA,52349,"http://maps.google.com/maps?q=113 EAST THIRD STREET,+VINTON,+IA+52349&hl=en"
BERLIN POLICE DEPARTMENT,"BERLIN POLICE DEPARTMENT 
												
													DROP BOX ONLY M-F 7:30 AM-4:30 PM",108 N. CAPRON STREET,BERLIN,WI,54923,"http://maps.google.com/maps?q=108 N. CAPRON STREET,+BERLIN,+WI+54923&hl=en"
BLACK RIVER FALLS POLICE DEPARTMENT,"THEISEN'S PARKING LOT 
												
													EVENT 10:00AM-2:00PM",616 E HWY 54,BLACK RIVER FALLS,WI,54615,"http://maps.google.com/maps?q=616 E HWY 54,+BLACK RIVER FALLS,+WI+54615&hl=en"
BLAIR POLICE DEPARTMENT,"BLAIR POLICE DEPARTMENT 
												
													BOX M-F 7:30AM-4:00PM",122 S. URBERG AVE,BLAIR,WI,54616,"http://maps.google.com/maps?q=122 S. URBERG AVE,+BLAIR,+WI+54616&hl=en"
BLUE MOUNDS POLICE DEPARTMENT,"BLUE MOUNDS POLICE DEPARTMENT 
												
													EVENT 9:00AM-4:00PM",11011 BRIGHAM AVE,BLUE MOUNDS,WI,53517,"http://maps.google.com/maps?q=11011 BRIGHAM AVE,+BLUE MOUNDS,+WI+53517&hl=en"
BOSCOBEL POLICE DEPARTMENT,"BOSCOBEL POLICE DEPARTMENT 
												
													DROP BOX ONLY 7:00 AM - 4:00 PM",1006 WISCONSIN AVE,BOSCOBEL,WI,53805,"http://maps.google.com/maps?q=1006 WISCONSIN AVE,+BOSCOBEL,+WI+53805&hl=en"
