Participant,CollectionSite,Address,City,State,Zip,MapURL
ADULT PROBATION & PAROLE - SALT LAKE CITY,ADULT PROBATION & PAROLE/REGION III,36 WEST FREMONT AVE,SALT LAKE CITY,UT,84101,"http://maps.google.com/maps?q=36 WEST FREMONT AVE,+SALT LAKE CITY,+UT+84101&hl=en"
ADULT PROBATION & PAROLE - WEST VALLEY,CENTRAL VALLEY OFFICE/ADULT PROBATION & PAROLE,3280 WEST 3500 SOUTH,WEST VALLEY CITY,UT,84119,"http://maps.google.com/maps?q=3280 WEST 3500 SOUTH,+WEST VALLEY CITY,+UT+84119&hl=en"
BOUNTIFUL POLICE,SMITH'S MARKETPLACE,555 S 200 W,BOUNTIFUL,UT,84010,"http://maps.google.com/maps?q=555 S 200 W,+BOUNTIFUL,+UT+84010&hl=en"
CEDAR CITY POLICE DEPARTMENT,CEDAR CITY POLICE DEPARTMENT LOBBY,10 N MAIN STREET,CEDAR CITY,UT,84720,"http://maps.google.com/maps?q=10 N MAIN STREET,+CEDAR CITY,+UT+84720&hl=en"
CENTERVILLE POLICE DEPARTMENT,CENTERVILLE POLICE DEPARTMENT,250 N. MAIN ST.,CENTERVILLE,UT,84014,"http://maps.google.com/maps?q=250 N. MAIN ST.,+CENTERVILLE,+UT+84014&hl=en"
CLINTON POLICE DEPARTMENT,MACEY'S GROCERY STORE,2062 WEST 1800 NORTH,CLINTON,UT,84015,"http://maps.google.com/maps?q=2062 WEST 1800 NORTH,+CLINTON,+UT+84015&hl=en"
COLDWELL BANKER,COLDWELL BANKER,2180 S. 1300 E. #140,SALT LAKE CITY,UT,84106,"http://maps.google.com/maps?q=2180 S. 1300 E. #140,+SALT LAKE CITY,+UT+84106&hl=en"
EAST CARBON P.D.,EAST CARBON POLICE DEPT.,101 W. GENEVA DR.,EAST CARBON,UT,84520,"http://maps.google.com/maps?q=101 W. GENEVA DR.,+EAST CARBON,+UT+84520&hl=en"
FARMINGTON POLICE DEPARTMENT,SMITH'S FOOD & DRUG,1316 NORTH U.S. HIGHWAY 89,FARMINGTON,UT,84025,"http://maps.google.com/maps?q=1316 NORTH U.S. HIGHWAY 89,+FARMINGTON,+UT+84025&hl=en"
GRAND COUNTY SHERIFF'S OFFICE,GRAND COUNTY SHERIFF'S OFFICE,25 SOUTH 100 EAST,MOAB,UT,84532,"http://maps.google.com/maps?q=25 SOUTH 100 EAST,+MOAB,+UT+84532&hl=en"
GUNNISON VALLEY POLICE DEPARTMENT,GUNNISON VALLEY POLICE DEPARTMENT,38 W. CENTER,GUNNISON,UT,84634,"http://maps.google.com/maps?q=38 W. CENTER,+GUNNISON,+UT+84634&hl=en"
HILL AIR FORCE BASE,BX,7440 6TH STREET,HILL AFB,UT,84056,"http://maps.google.com/maps?q=7440 6TH STREET,+HILL AFB,+UT+84056&hl=en"
HILL AIR FORCE BASE,HILL AIR FORCE BASE COMMISSARY,7451 6TH STREET,HILL AFB,UT,84056,"http://maps.google.com/maps?q=7451 6TH STREET,+HILL AFB,+UT+84056&hl=en"
HOPI RESOURCE ENFORCEMENT SERVICES,VILLAGE OF SHUNGOPAVI,SHUNGOPAVI RD.ADDRESS HAS NO NUMBERS,SECOND MESA,AZ,86043,"http://maps.google.com/maps?q=SHUNGOPAVI RD.,+SECOND MESA,+AZ+86043&hl=en"
HUALAPAI POLICE DEPARTMENT,HUALAPAI NATION POLICE DEPARTMENT LOBBY,468 DIAMOND CREEK ROAD,PEACH SPRINGS,AZ,86434,"http://maps.google.com/maps?q=468 DIAMOND CREEK ROAD,+PEACH SPRINGS,+AZ+86434&hl=en"
HURRICANE POLICE DEPARTMENT,LINS MARKET,1120 W STATE STREET,HURRICANE,UT,84737,"http://maps.google.com/maps?q=1120 W STATE STREET,+HURRICANE,+UT+84737&hl=en"
IRON COUNTY SHERIFFS OFFICE,SMITH'S FOOD AND DRUG,633 SOUTH MAIN STREET,CEDAR CITY,UT,84720,"http://maps.google.com/maps?q=633 SOUTH MAIN STREET,+CEDAR CITY,+UT+84720&hl=en"
LAS VEGAS METROPOLITAN POLICE DEPT.,ENTERPRISE AREA COMMAND PARKING LOT,6975 W. WINDMILL,LAS VEGAS,NV,89113,"http://maps.google.com/maps?q=6975 W. WINDMILL,+LAS VEGAS,+NV+89113&hl=en"
LAS VEGAS METROPOLITAN POLICE DEPT.,NORTHWEST AREA COMMAND,9850 W. CHEYENNE,LAS VEGAS,NV,89129,"http://maps.google.com/maps?q=9850 W. CHEYENNE,+LAS VEGAS,+NV+89129&hl=en"
LAVERKIN POLICE DEPARTMENT,LAVERKIN CITY OFFICE,435 N. MAIN ST.,LA VERKIN,UT,84745,"http://maps.google.com/maps?q=435 N. MAIN ST.,+LA VERKIN,+UT+84745&hl=en"
