Participant,CollectionSite,Address,City,State,Zip,MapURL
ADAMS COUNTY SHERIFF'S OFFICE,ADAMS COUNTY HEALTH DEPARTMENT,330 VERMONT,QUINCY,IL,62301,"http://maps.google.com/maps?q=330 VERMONT,+QUINCY,+IL+62301&hl=en"
ALEDO POLICE DEPT.,"ALEDO POLICE DEPT. 
												
													PARKING LOT",200 N.E. 2ND STREET,ALEDO,IL,61231,"http://maps.google.com/maps?q=200 N.E. 2ND STREET,+ALEDO,+IL+61231&hl=en"
ALGONQUIN POLICE,ALGONQUIN POLICE DEPARTMENT,2200 HARNISH DRIVE,ALGONQUIN,IL,60102,"http://maps.google.com/maps?q=2200 HARNISH DRIVE,+ALGONQUIN,+IL+60102&hl=en"
ALTON POLICE DEPARTMENT,ALTON POLICE DEPARTMENT,1700 E. BROADWAY,ALTON,IL,62002,"http://maps.google.com/maps?q=1700 E. BROADWAY,+ALTON,+IL+62002&hl=en"
ARLINGTON HEIGHTS POLICE DEPARTMENT,ARLINGTON HEIGHTS VILLAGE HALL,33 S. ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60005,"http://maps.google.com/maps?q=33 S. ARLINGTON HEIGHTS ROAD,+ARLINGTON HEIGHTS,+IL+60005&hl=en"
AUBURN POLICE DEPARTMENT,AUBURN POLICE DEPARTMENT,324 W. JEFFERSON STREET,AUBURN,IL,62615,"http://maps.google.com/maps?q=324 W. JEFFERSON STREET,+AUBURN,+IL+62615&hl=en"
AURORA POLICE HEADQUARTERS,AURORA POLICE HEADQUARTERS,1200 E INDIAN TRAIL RD,AURORA,IL,60505,"http://maps.google.com/maps?q=1200 E INDIAN TRAIL RD,+AURORA,+IL+60505&hl=en"
BARRINGTON POLICE DEPARTMENT,"BARRINGTON POLICE DEPARTMENT 
												
													PUBLIC SAFETY BUILDING",400 N. NORTHWEST HWY,BARRINGTON,IL,60010,"http://maps.google.com/maps?q=400 N. NORTHWEST HWY,+BARRINGTON,+IL+60010&hl=en"
BELLEFONTAINE NEIGHBORS POLICE DEPARTMENT,BELLEFONTAINE NEIGHBORS POLICE DEPARTMENT,9641 BELLEFONTAINE RD,SAINT LOUIS,MO,63137,"http://maps.google.com/maps?q=9641 BELLEFONTAINE RD,+SAINT LOUIS,+MO+63137&hl=en"
BERWYN POLICE DEPARTMENT,BERWYN POLICE DEPARTMENT,6401 W 31ST,BERWYN,IL,60402,"http://maps.google.com/maps?q=6401 W 31ST,+BERWYN,+IL+60402&hl=en"
BICKNELL POLICE DEPARTMENT,BICKNELL POLICE DEPARTMENT,119 EAST 2ND STREET,BICKNELL,IN,47512,"http://maps.google.com/maps?q=119 EAST 2ND STREET,+BICKNELL,+IN+47512&hl=en"
BLOOMINGTON POLICE DEPARTMENT,"BLOOMINGTON POLICE DEPARTMENT 
												
													MAIN LOBBY",305 S. EAST ST.,BLOOMINGTON,IL,61701,"http://maps.google.com/maps?q=305 S. EAST ST.,+BLOOMINGTON,+IL+61701&hl=en"
BLOOMINGTON POLICE DEPARTMENT,"KROGER PHARMACY 
												
													PARKING LOT",1175 COLLEGE MALL RD.,BLOOMINGTON,IN,47401,"http://maps.google.com/maps?q=1175 COLLEGE MALL RD.,+BLOOMINGTON,+IN+47401&hl=en"
BREESE POLICE DEPT.,BREESE POLICE DEPT.,500 N. 1ST STREET,BREESE,IL,62230,"http://maps.google.com/maps?q=500 N. 1ST STREET,+BREESE,+IL+62230&hl=en"
BREMEN POLICE DEPARTMENT,CVS PHARMACY,1150 W. PLYMOUTH STREET,BREMEN,IN,46506,"http://maps.google.com/maps?q=1150 W. PLYMOUTH STREET,+BREMEN,+IN+46506&hl=en"
BRIDGETON POLICE DEPARTMENT,BRIDGETON POLICE DEPARTMENT,12355 NATURAL BRIDGE RD,BRIDGETON,MO,63044,"http://maps.google.com/maps?q=12355 NATURAL BRIDGE RD,+BRIDGETON,+MO+63044&hl=en"
BRIDGEVIEW POLICE DEPARTMENT,BRIDGEVIEW POLICE DEPARTMENT,7500 S. OKETO AVE,BRIDGEVIEW,IL,60455,"http://maps.google.com/maps?q=7500 S. OKETO AVE,+BRIDGEVIEW,+IL+60455&hl=en"
BROADVIEW POLICE DEPARTMENT,BROADVIEW POLICE DEPARTMENT,2350 S. 25TH AVE,BROADVIEW,IL,60155,"http://maps.google.com/maps?q=2350 S. 25TH AVE,+BROADVIEW,+IL+60155&hl=en"
BROWN COUNTY SHERIFF'S OFFICE,MT. STERLING IGA,200 PITTSFIELD ROAD,MOUNT STERLING,IL,62353,"http://maps.google.com/maps?q=200 PITTSFIELD ROAD,+MOUNT STERLING,+IL+62353&hl=en"
BUFFALO GROVE POLICE DEPARTMENT,BUFFALO GROVE POLICE,46 RAUPP BLV,BUFFALO GROVE,IL,60089,"http://maps.google.com/maps?q=46 RAUPP BLV,+BUFFALO GROVE,+IL+60089&hl=en"
BUFFALO GROVE POLICE DEPARTMENT,BUFFALO GROVE POLICE @ MARIANO'S,450 W. HALF DAY ROAD,BUFFALO GROVE,IL,60089,"http://maps.google.com/maps?q=450 W. HALF DAY ROAD,+BUFFALO GROVE,+IL+60089&hl=en"
CANTON POLICE DEPARTMENT,CANTON POLICE DEPARTMENT,2 N. MAIN STREET,CANTON,IL,61520,"http://maps.google.com/maps?q=2 N. MAIN STREET,+CANTON,+IL+61520&hl=en"
CARLINVILLE POLICE DEPT.,CARLINVILLE POLICE DEPARTMENT,570 NORTH BROAD STREET,CARLINVILLE,IL,62626,"http://maps.google.com/maps?q=570 NORTH BROAD STREET,+CARLINVILLE,+IL+62626&hl=en"
CARY POLICE DEPARTMENT,CARY POLICE DEPARTMENT,654 VILLAGE HALL DRIVE,CARY,IL,60013,"http://maps.google.com/maps?q=654 VILLAGE HALL DRIVE,+CARY,+IL+60013&hl=en"
CEDAR COUNTY SHERIFF'S OFFICE,CEDAR COUNTY SHERIFF'S OFFICE,711 E. SOUTH ST,TIPTON,IA,52772,"http://maps.google.com/maps?q=711 E. SOUTH ST,+TIPTON,+IA+52772&hl=en"
CEDAR LAKE POLICE DEPARTMENT,"CEDAR LAKE POLICE DEPARTMENT 
												
													DROP BOX 24/7",7408 CONSTITUTION AVENUE,CEDAR LAKE,IN,46303,"http://maps.google.com/maps?q=7408 CONSTITUTION AVENUE,+CEDAR LAKE,+IN+46303&hl=en"
CHATHAM POLICE DEPARTMENT,CHATHAM POLICE DEPARTMENT,117 EAST MULBERRY,CHATHAM,IL,62629,"http://maps.google.com/maps?q=117 EAST MULBERRY,+CHATHAM,+IL+62629&hl=en"
CHENOA POLICE DEPARTMENT,CHENOA POLICE DEPARTMENT,201 GREEN STREET,CHENOA,IL,61726,"http://maps.google.com/maps?q=201 GREEN STREET,+CHENOA,+IL+61726&hl=en"
CHESTERTON POLICE DEPARTMENT,"CHESTERTON POLICE DEPARTMENT 
												
													DROP BOX 24/7",790 BROADWAY,CHESTERTON,IN,46304,"http://maps.google.com/maps?q=790 BROADWAY,+CHESTERTON,+IN+46304&hl=en"
"CITY OF SANDWICH, ILL POLICE DEPARTMENT",SANDWICH POLICE DEPARTMENT,308 EAST COLLEGE ST,SANDWICH,IL,60548,"http://maps.google.com/maps?q=308 EAST COLLEGE ST,+SANDWICH,+IL+60548&hl=en"
