Participant,CollectionSite,Address,City,State,Zip,MapURL
ABERDEEN POLICE DEPARTMENT,ABERDEEN POLICE DEPARTMENT,114 SE 2ND AVE,ABERDEEN,SD,57401,"http://maps.google.com/maps?q=114 SE 2ND AVE,+ABERDEEN,+SD+57401&hl=en"
ANTELOPE COUNTY SHERIFF'S OFFICE,ANTELOPE COUNTY SHERIFF'S OFFICE,1102 L STREET,NELIGH,NE,68756,"http://maps.google.com/maps?q=1102 L STREET,+NELIGH,+NE+68756&hl=en"
BATTLE LAKE PD,BATTLE LAKE PD,108 EAST MAIN STREET,BATTLE LAKE,MN,56515,"http://maps.google.com/maps?q=108 EAST MAIN STREET,+BATTLE LAKE,+MN+56515&hl=en"
BOX BUTTE COUNTY SHERIFF'S OFFICE,"BOX BUTTE GENERAL HOSPITAL 
												
													SAND HILLS ROOM - (DOUBLE BOXES)",2101 BOX BUTTE AVE,ALLIANCE,NE,69301,"http://maps.google.com/maps?q=2101 BOX BUTTE AVE,+ALLIANCE,+NE+69301&hl=en"
BRANDON POLICE DEPARTMENT,BRANDON POLICE DEPT.,304 S MAIN AVE.,BRANDON,SD,57005,"http://maps.google.com/maps?q=304 S MAIN AVE.,+BRANDON,+SD+57005&hl=en"
BROWN COUNTY SHERIFF'S OFFICE,BROWN COUNTY SHERIFF'S OFFICE,142 WEST 4TH STREET,AINSWORTH,NE,69210,"http://maps.google.com/maps?q=142 WEST 4TH STREET,+AINSWORTH,+NE+69210&hl=en"
CHERRY COUNTY S.O. VALENTINE P.D.,CHERRY CO S.O./ VALENTINE POLICE DEPT,365 N. MAIN ST.,VALENTINE,NE,69201,"http://maps.google.com/maps?q=365 N. MAIN ST.,+VALENTINE,+NE+69201&hl=en"
CHERRY COUNTY S.O. VALENTINE P.D.,CHERRY COUNTY S.O. - VALENTINE POLICE DEPT,365 N. MAIN STREET,VALENTINE,NE,69201,"http://maps.google.com/maps?q=365 N. MAIN STREET,+VALENTINE,+NE+69201&hl=en"
CODINGTON COUNTY SHERIFFS OFFICE,CODINGTON COUNTY SHERIFF'S OFFICE,14 1ST AVE SE,WATERTOWN,SD,57201,"http://maps.google.com/maps?q=14 1ST AVE SE,+WATERTOWN,+SD+57201&hl=en"
CROFTON POLICE DEPARTMENT,CROFTON POLICE DEPARTMENT,1210 W 2ND STREET,CROFTON,NE,68730,"http://maps.google.com/maps?q=1210 W 2ND STREET,+CROFTON,+NE+68730&hl=en"
EAGLE BUTTE POLICE DEPT,EAGLE BUTTE POLICE DEPARTMENT,209 MAIN ST,EAGLE BUTTE,SD,57625,"http://maps.google.com/maps?q=209 MAIN ST,+EAGLE BUTTE,+SD+57625&hl=en"
FAULK COUNTY SHERIFF'S OFFICE,FAULK COUNTY SHERIFF'S OFFICE,924 LAFOON AVE,FAULKTON,SD,57438,"http://maps.google.com/maps?q=924 LAFOON AVE,+FAULKTON,+SD+57438&hl=en"
GRANT COUNTY SO,GRANT COUNTY SO,"10 2ND STREET, NE",ELBOW LAKE,MN,56531,"http://maps.google.com/maps?q=10 2ND STREET, NE,+ELBOW LAKE,+MN+56531&hl=en"
HAWLEY PD,HAWLEY POLICE DEPARTMENT,818 FRONT STREET,HAWLEY,MN,56549,"http://maps.google.com/maps?q=818 FRONT STREET,+HAWLEY,+MN+56549&hl=en"
HURON POLICE DEPARTMENT,"CITY HALL 
												
													SOUTH SIDE OF THE BUILDING",239 WISCONSIN AVE SW,HURON,SD,57350,"http://maps.google.com/maps?q=239 WISCONSIN AVE SW,+HURON,+SD+57350&hl=en"
LAKE COUNTY SHERIFF'S OFFICE,LAKE COUNTY SHERIFF'S OFFICE,219 NE 1ST STREET,MADISON,SD,57042,"http://maps.google.com/maps?q=219 NE 1ST STREET,+MADISON,+SD+57042&hl=en"
LAWRENCE COUNTY SHERIFF'S OFFICE,LAWRENCE COUNTY SHERIFF'S OFFICE,80 SHERMAN STREET,DEADWOOD,SD,57732,"http://maps.google.com/maps?q=80 SHERMAN STREET,+DEADWOOD,+SD+57732&hl=en"
LINCOLN COUNTY SHERIFF'S OFFICE,HARRISBURG CITY HALL,301 E. WILLOW STREET,HARRISBURG,SD,57032,"http://maps.google.com/maps?q=301 E. WILLOW STREET,+HARRISBURG,+SD+57032&hl=en"
LINCOLN COUNTY SO,LINCOLN COUNTY SHERIFF'S OFFICE,322 NORTH WALLACE STREET,IVANHOE,MN,56142,"http://maps.google.com/maps?q=322 NORTH WALLACE STREET,+IVANHOE,+MN+56142&hl=en"
LYON COUNTY SHERIFF'S OFFICE,LYON COUNTY SHERIFF'S OFFICE,410 SOUTH BOONE,ROCK RAPIDS,IA,51246,"http://maps.google.com/maps?q=410 SOUTH BOONE,+ROCK RAPIDS,+IA+51246&hl=en"
LYON COUNTY SO,LYON COUNTY SHERIFF'S OFFICE,611 WEST MAIN STREET,MARSHALL,MN,56258,"http://maps.google.com/maps?q=611 WEST MAIN STREET,+MARSHALL,+MN+56258&hl=en"
MCPHERSON COUNTY SHERIFF'S OFFICE,"EUREKA MUNICIPAL BUILDING 
												
													MCPHERSON COUNTY SHERIFF SATELLITE OFFICE",613 7TH STREET,EUREKA,SD,57437,"http://maps.google.com/maps?q=613 7TH STREET,+EUREKA,+SD+57437&hl=en"
MCPHERSON COUNTY SHERIFF'S OFFICE,"MCPHERSON COUNTY COURTHOUSE 
												
													MCPHERSON COUNTY SHERIFF'S OFFICE",706 MAIN STREETPO BOX 158,LEOLA,SD,57456,"http://maps.google.com/maps?q=706 MAIN STREET,+LEOLA,+SD+57456&hl=en"
MELLETTE COUNTY SHERIFF'S OFFICE,"COURT HOUSE 
												
													PARKING LOT",321 E 4TH,WHITE RIVER,SD,57579,"http://maps.google.com/maps?q=321 E 4TH,+WHITE RIVER,+SD+57579&hl=en"
MOORHEAD POLICE DEPARTMENT,WALGREENS PARKING LOT,700 30 AVENUE SOUTH,MOORHEAD,MN,56560,"http://maps.google.com/maps?q=700 30 AVENUE SOUTH,+MOORHEAD,+MN+56560&hl=en"
MOORHEAD POLICE DEPARTMENT,WALGREENS PARKING LOT,900 MAIN AVENUE,MOORHEAD,MN,56560,"http://maps.google.com/maps?q=900 MAIN AVENUE,+MOORHEAD,+MN+56560&hl=en"
ONEILL POLICE DEPARTMENT,ONEILL POLICE DEPARTMENT,401 E. FREEMONT,ONEILL,NE,68763,"http://maps.google.com/maps?q=401 E. FREEMONT,+ONEILL,+NE+68763&hl=en"
PERKINS COUNTY SHERIFF'S OFFICE,PERKINS COUNTY SHERIFF'S OFFICE - BISON,100 E MAIN,BISON,SD,57620,"http://maps.google.com/maps?q=100 E MAIN,+BISON,+SD+57620&hl=en"
PERKINS COUNTY SHERIFF'S OFFICE,PERKINS COUNTY SHERIFF'S OFFICE - LEMMON,100 MAIN AVE,LEMMON,SD,57638,"http://maps.google.com/maps?q=100 MAIN AVE,+LEMMON,+SD+57638&hl=en"
PIERRE POLICE DEPARTMENT,"CITY HALL 
												
													COMMISSION ROOM",222 E. DAKOTA AVE.,PIERRE,SD,57501,"http://maps.google.com/maps?q=222 E. DAKOTA AVE.,+PIERRE,+SD+57501&hl=en"
PIPESTONE COUNTY SO,PIPESTONE COUNTY SHERIFF'S OFFICE,416 SOUTH HIAWATHA AVENUE,PIPESTONE,MN,56164,"http://maps.google.com/maps?q=416 SOUTH HIAWATHA AVENUE,+PIPESTONE,+MN+56164&hl=en"
PLAINVIEW POLICE DEPARTMENT,"PLAINVIEW HEALTHMART PHARMACY 
												
													HOURS: 10AM - 12PM",103 S. MAIN STREET,PLAINVIEW,NE,68769,"http://maps.google.com/maps?q=103 S. MAIN STREET,+PLAINVIEW,+NE+68769&hl=en"
RAPID CITY POLICE DEPARTMENT,"RAPID CITY POLICE DEPARTMENT 
												
													PUBLIC SAFETY BUILDING",300 KANSAS CITY STREET,RAPID CITY,SD,57701,"http://maps.google.com/maps?q=300 KANSAS CITY STREET,+RAPID CITY,+SD+57701&hl=en"
ROCK COUNTY SO,ROCK COUNTY SO,1000 NORTH BLUE MOUND AVENUE,LUVERNE,MN,56156,"http://maps.google.com/maps?q=1000 NORTH BLUE MOUND AVENUE,+LUVERNE,+MN+56156&hl=en"
SPEARFISH POLICE DEPARTMENT,SPEARFISH POLICE DEPT.,625 5TH STREET,SPEARFISH,SD,57783,"http://maps.google.com/maps?q=625 5TH STREET,+SPEARFISH,+SD+57783&hl=en"
WEST FARGO PD,WEST FARGO PD,800 4TH AVENUE EAST,WEST FARGO,ND,58078,"http://maps.google.com/maps?q=800 4TH AVENUE EAST,+WEST FARGO,+ND+58078&hl=en"
WHITE EARTH POLICE DEPARTMENT,"WHITE EARTH POLICE DEPARTMENT 
												
													WHITE EARTH PD GARAGE",35550 EAGLE VIEW ROAD,WHITE EARTH,MN,56591,"http://maps.google.com/maps?q=35550 EAGLE VIEW ROAD,+WHITE EARTH,+MN+56591&hl=en"
WILKIN COUNTY SHERIFF'S OFFICE,WILKIN COUNTY SHERIFF'S OFFICE,515 DACOTAH AVENUE,BRECKENRIDGE,MN,56520,"http://maps.google.com/maps?q=515 DACOTAH AVENUE,+BRECKENRIDGE,+MN+56520&hl=en"
WINNER POLICE DEPT,"WINNER POLICE DEPARTMENT 
												
													NO BOXES NEEDED, PER PAUL SCHUETH",217 EAST 3RD ST,WINNER,SD,57580,"http://maps.google.com/maps?q=217 EAST 3RD ST,+WINNER,+SD+57580&hl=en"
YANKTON POLICE DEPARTMENT,YANKTON POLICE DEPARTMENT,"410 WALNUT, SUITE 102",YANKTON,SD,57078,"http://maps.google.com/maps?q=410 WALNUT, SUITE 102,+YANKTON,+SD+57078&hl=en"
