Participant,CollectionSite,Address,City,State,Zip,MapURL
ADAMS COUNTY SHERIFF'S OFFICE - SPECIAL OPERATIONS,ADAMS COUNTY SHERIFF'S OFFICE - SPECIAL OPERATIONS,306 STATE ST.,NATCHEZ,MS,39120,"http://maps.google.com/maps?q=306 STATE ST.,+NATCHEZ,+MS+39120&hl=en"
ALABAMA COUSHATTA POLICE DEPARTMENT,ALABAMA COUSHATTA POLICE DEPARTMENT,571 STATE PARK ROAD 56,LIVINGSTON,TX,77351,"http://maps.google.com/maps?q=571 STATE PARK ROAD 56,+LIVINGSTON,+TX+77351&hl=en"
ALEXANDRIA CITY MARSHAL'S OFFICE,ALEXANDRIA CITY MARSHAL'S OFFICE,515 WASHINGTON STREET,ALEXANDRIA,LA,71301,"http://maps.google.com/maps?q=515 WASHINGTON STREET,+ALEXANDRIA,+LA+71301&hl=en"
ALEXANDRIA POLICE DEPARTMENT,ALEXANDRIA POLICE DEPARTMENT,1000 BOLTON AVE,ALEXANDRIA,LA,71301,"http://maps.google.com/maps?q=1000 BOLTON AVE,+ALEXANDRIA,+LA+71301&hl=en"
ANGELINA COUNTY SHERRIFF'S OFFICE,ANGELINA COUNTY SHERRIFF'S OFFICE,2311 E. LUFKIN AVENUE,LUFKIN,TX,75901,"http://maps.google.com/maps?q=2311 E. LUFKIN AVENUE,+LUFKIN,+TX+75901&hl=en"
ARNAUDVILLE POLICE DEPARTMENT,COURTNEY THRIFTYWAY PHARMACY,412 OLIVE STREET,ARNAUDVILLE,LA,70512,"http://maps.google.com/maps?q=412 OLIVE STREET,+ARNAUDVILLE,+LA+70512&hl=en"
BATON ROUGE PD,BATON ROUGE PD,9000 AIRLINE HWY,BATON ROUGE,LA,70815,"http://maps.google.com/maps?q=9000 AIRLINE HWY,+BATON ROUGE,+LA+70815&hl=en"
BAYTOWN POLICE DEPARTMENT,BAYTOWN POLICE DEPARTMENT,3200 NORTH MAIN STREET,BAYTOWN,TX,77521,"http://maps.google.com/maps?q=3200 NORTH MAIN STREET,+BAYTOWN,+TX+77521&hl=en"
BEAUMONT ROGERS PARK,ROGERS PARK,1455 DOWLEN ROAD,BEAUMONT,TX,77706,"http://maps.google.com/maps?q=1455 DOWLEN ROAD,+BEAUMONT,+TX+77706&hl=en"
BEAUREGARD PARISH SHERIFF'S DEPARTMENT,BEAUREGARD PARISH SHERIFF'S DEPARTMENT,412 BOLIVAR BISHOP DRIVE,DERIDDER,LA,70634,"http://maps.google.com/maps?q=412 BOLIVAR BISHOP DRIVE,+DERIDDER,+LA+70634&hl=en"
BEAUREGARD PARISH SHERIFF'S OFFICE,BEAUREGARD S.O,412 BOLIVER DISHOP DR.,DERIDDER,LA,70634,"http://maps.google.com/maps?q=412 BOLIVER DISHOP DR.,+DERIDDER,+LA+70634&hl=en"
BOGALUSA POLICE DEPARTMENT,NIELSEN'S PHARMACY,1619 S. COLUMBIA STREET,BOGALUSA,LA,70427,"http://maps.google.com/maps?q=1619 S. COLUMBIA STREET,+BOGALUSA,+LA+70427&hl=en"
BROUSSARD POLICE DEPARTMENT,"WALGREENS 
												
													PARKING LOT",105 ST. NAZAIRE,BROUSSARD,LA,70518,"http://maps.google.com/maps?q=105 ST. NAZAIRE,+BROUSSARD,+LA+70518&hl=en"
CADDO PARISH SHERIFF'S OFFICE,SHERIFF'S SAFETY TOWN,8910 JEWELLA AVENUE,SHREVEPORT,LA,71118,"http://maps.google.com/maps?q=8910 JEWELLA AVENUE,+SHREVEPORT,+LA+71118&hl=en"
CARROLL COUNTY SHERIFF'S DEPARTMENT,"CARROLL COUNTY SHERIFF'S DEPARTMENT 
												
													PERMANENT DROP BOX",105 EAST WASHINGTON ST.,CARROLLTON,MS,38917,"http://maps.google.com/maps?q=105 EAST WASHINGTON ST.,+CARROLLTON,+MS+38917&hl=en"
CENTRAL POLICE DEPARTMENT,CENTRAL POLICE DEPARTMENT,13421 HOOPER RD STE 6,BATON ROUGE,LA,70818,"http://maps.google.com/maps?q=13421 HOOPER RD STE 6,+BATON ROUGE,+LA+70818&hl=en"
CHITIMACHA TRIBAL POLICE DEPARTMENT,CHITIMACHA FIRE DEPARTMENT,215 COUSHATTA DRIVE,CHARENTON,LA,70523,"http://maps.google.com/maps?q=215 COUSHATTA DRIVE,+CHARENTON,+LA+70523&hl=en"
CLINTON POLICE DEPARTMENT,KROGER PHARMACY,107 HIGHWAY 80 E.,CLINTON,MS,39056,"http://maps.google.com/maps?q=107 HIGHWAY 80 E.,+CLINTON,+MS+39056&hl=en"
CONROE POLICE DEPARTMENT,CONROE POLICE DEPARTMENT,2300 PLANTATION DRIVE,CONROE,TX,77303,"http://maps.google.com/maps?q=2300 PLANTATION DRIVE,+CONROE,+TX+77303&hl=en"
COVINGTON POLICE DEPARTMENT,COVINGTON POLICE DEPARTMENT,200 E KIRKLAND ST.,COVINGTON,LA,70433,"http://maps.google.com/maps?q=200 E KIRKLAND ST.,+COVINGTON,+LA+70433&hl=en"
CROSSETT POLICE DEPARTMENT,"CROSSETT POLICE DEPARTMENT 
												
													PERMANENT DROP BOX",307 MAIN STREET,CROSSETT,AR,71635,"http://maps.google.com/maps?q=307 MAIN STREET,+CROSSETT,+AR+71635&hl=en"
DAINGERFIELD PD,SHOPPING CENTER,305 W.M. WATSON BLVD.,DAINGERFIELD,TX,75638,"http://maps.google.com/maps?q=305 W.M. WATSON BLVD.,+DAINGERFIELD,+TX+75638&hl=en"
DEA-JACKSON DISTRICT OFFICE,"DOGWOOD FESTIVAL 
												
													BETWEEN THE STORES OF BELK & OLD NAVY",272 DOGWOOD BLVD.OFF OF HIGHWAY 25; LAKELAND DR.,FLOWOOD,MS,39232,"http://maps.google.com/maps?q=272 DOGWOOD BLVD.,+FLOWOOD,+MS+39232&hl=en"
DERIDDER POLICE DEPARTMENT,DERIDDER PD,200 SOUTH JEFFERSON STREET,DERIDDER,LA,70634,"http://maps.google.com/maps?q=200 SOUTH JEFFERSON STREET,+DERIDDER,+LA+70634&hl=en"
