Participant,CollectionSite,Address,City,State,Zip,MapURL
10TH JUDICIAL DRUG TASK FORCE,WALMART,4225 HIGHWAY 411,MADISONVILLE,TN,37354,"http://maps.google.com/maps?q=4225 HIGHWAY 411,+MADISONVILLE,+TN+37354&hl=en"
5TH JUDICIAL DRUG TASK FORCE,BLOUNT COUNTY JUSTICE CENTER,940 EAST LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,"http://maps.google.com/maps?q=940 EAST LAMAR ALEXANDER PARKWAY,+MARYVILLE,+TN+37804&hl=en"
ADAIR COUNTY SHERIFF'S OFFICE,"ADAIR COUNTY SHERIFF'S OFFICE 
												
													TACO BELL (PICK UP IN PARKING LOT)",899 JAMES TOWN STREET,COLUMBIA,KY,42728,"http://maps.google.com/maps?q=899 JAMES TOWN STREET,+COLUMBIA,+KY+42728&hl=en"
ALAMO POLICE DEPARTMENT,ALAMO POLICE DEPT.,31 W. MAIN ST.,ALAMO,TN,38001,"http://maps.google.com/maps?q=31 W. MAIN ST.,+ALAMO,+TN+38001&hl=en"
ALGOOD POLICE DEPT.,ALGOOD CITY HALL LOBBY,215 W. MAIN STREET,COOKEVILLE,TN,38506,"http://maps.google.com/maps?q=215 W. MAIN STREET,+COOKEVILLE,+TN+38506&hl=en"
ASHLAND KY POLICE,ASHLAND KY POLICE,201 17TH STREET,ASHLAND,KY,41101,"http://maps.google.com/maps?q=201 17TH STREET,+ASHLAND,+KY+41101&hl=en"
BAILEYTON POLICE DEPT.,BAILEYTON POLICE DEPT.,6530 HORTON HWY,GREENEVILLE,TN,37745,"http://maps.google.com/maps?q=6530 HORTON HWY,+GREENEVILLE,+TN+37745&hl=en"
BEDFORD COUNTY SHERIFF'S DEPT.,FIRST BAPTIST CHURCH,304 E. DEPOT ST,SHELBYVILLE,TN,37160,"http://maps.google.com/maps?q=304 E. DEPOT ST,+SHELBYVILLE,+TN+37160&hl=en"
BELLE MEADE POLICE DEPT.,BELLE MEADE POLICE DEPARTMENT,4705 HARDING PIKE,NASHVILLE,TN,37205,"http://maps.google.com/maps?q=4705 HARDING PIKE,+NASHVILLE,+TN+37205&hl=en"
BICKNELL POLICE DEPARTMENT,BICKNELL POLICE DEPARTMENT,119 EAST 2ND STREET,BICKNELL,IN,47512,"http://maps.google.com/maps?q=119 EAST 2ND STREET,+BICKNELL,+IN+47512&hl=en"
BLOOMINGTON POLICE DEPARTMENT,"KROGER PHARMACY 
												
													PARKING LOT",1175 COLLEGE MALL RD.,BLOOMINGTON,IN,47401,"http://maps.google.com/maps?q=1175 COLLEGE MALL RD.,+BLOOMINGTON,+IN+47401&hl=en"
BOWLING GREEN- WARREN CO DRUG TASK FORCE,BOWLING GREEN POLICE DEPARTMENT,911 KENTUCKY STREET,BOWLING GREEN,KY,42101,"http://maps.google.com/maps?q=911 KENTUCKY STREET,+BOWLING GREEN,+KY+42101&hl=en"
BOWLING GREEN- WARREN CO DRUG TASK FORCE,"KENTUCKY STATE POLICE 
												
													POST 3",3119 NASHVILLE ROAD,BOWLING GREEN,KY,42101,"http://maps.google.com/maps?q=3119 NASHVILLE ROAD,+BOWLING GREEN,+KY+42101&hl=en"
BOWLING GREEN- WARREN CO DRUG TASK FORCE,"SAFETY CITY 
												
													IN FRONT OF GREENWOOD HIGH SCHOOL",5065 SCOTTSVILLE ROAD,BOWLING GREEN,KY,42104,"http://maps.google.com/maps?q=5065 SCOTTSVILLE ROAD,+BOWLING GREEN,+KY+42104&hl=en"
BRACKEN COUNTY SHERIFF OFFICE,BRACKEN COUNTY FISCAL COURTHOUSE,116 W MIAMI STREET,BROOKSVILLE,KY,41004,"http://maps.google.com/maps?q=116 W MIAMI STREET,+BROOKSVILLE,+KY+41004&hl=en"
BREESE POLICE DEPT.,BREESE POLICE DEPT.,500 N. 1ST STREET,BREESE,IL,62230,"http://maps.google.com/maps?q=500 N. 1ST STREET,+BREESE,+IL+62230&hl=en"
BRENTWOOD POLICE DEPARTMENT,BRENTWOOD POLICE DEPARTMENT,5211 MARYLAND WAY,BRENTWOOD,TN,37027,"http://maps.google.com/maps?q=5211 MARYLAND WAY,+BRENTWOOD,+TN+37027&hl=en"
BUNCOMBE COUNTY SHERIFF'S OFFICE,CVS PHARMACY,505 SMOKEY PARK HIGHWAY,ASHEVILLE,NC,28806,"http://maps.google.com/maps?q=505 SMOKEY PARK HIGHWAY,+ASHEVILLE,+NC+28806&hl=en"
BUNCOMBE COUNTY SHERIFF'S OFFICE,WALGREEN'S,1124 PATTON AVE,ASHEVILLE,NC,28806,"http://maps.google.com/maps?q=1124 PATTON AVE,+ASHEVILLE,+NC+28806&hl=en"
CALDWELL COUNTY SHERIFF'S OFFICE,CALDWELL COUNTY SHERIFF,100 E MARKET ST,PRINCETON,KY,42445,"http://maps.google.com/maps?q=100 E MARKET ST,+PRINCETON,+KY+42445&hl=en"
CAMDEN POLICE DEPT.,CAMDEN POLICE DEPT.,119 W. MAIN ST.,CAMDEN,TN,38320,"http://maps.google.com/maps?q=119 W. MAIN ST.,+CAMDEN,+TN+38320&hl=en"
CAPE GIRARDEAU POLICE DEPT.,CAPE GIRARDEAU POLICE DEPARTMENT,2530 MARIA LOUISE,CAPE GIRARDEAU,MO,63701,"http://maps.google.com/maps?q=2530 MARIA LOUISE,+CAPE GIRARDEAU,+MO+63701&hl=en"
CARBONDALE POLICE DEPARTMENT,CARBONDALE POLICE DEPARTMENT,501 SOUTH WASHINGTON STREET,CARBONDALE,IL,62901,"http://maps.google.com/maps?q=501 SOUTH WASHINGTON STREET,+CARBONDALE,+IL+62901&hl=en"
CARROLL COUNTY SHERIFF'S OFFICE,CARROLL COUNTY SHERIFF'S OFFICE,200 NORANDAL DRIVE,HUNTINGDON,TN,38344,"http://maps.google.com/maps?q=200 NORANDAL DRIVE,+HUNTINGDON,+TN+38344&hl=en"
CARTHAGE POLICE DEPARTMENT,CARTHAGE CITY HALL,314 SPRING ST.,CARTHAGE,TN,37030,"http://maps.google.com/maps?q=314 SPRING ST.,+CARTHAGE,+TN+37030&hl=en"
CHAPEL HILL POLICE DEPT.,CHAPEL HILL POLICE DEPT.,119 N. HORTON PKWY,CHAPEL HILL,TN,37034,"http://maps.google.com/maps?q=119 N. HORTON PKWY,+CHAPEL HILL,+TN+37034&hl=en"
CHARLESTON DEPARTMENT OF PUBLIC SAFETY,"CHARLESTON DEPT PUBLIC SAFETY 
												
													HEADQUARTERS",204 N MAIN,CHARLESTON,MO,63834,"http://maps.google.com/maps?q=204 N MAIN,+CHARLESTON,+MO+63834&hl=en"
CHESTER COUNTY SHERIFFS OFFICE,CRIMINAL JUSTICE COMPLEX,333 ERIC BELL DR.,HENDERSON,TN,38340,"http://maps.google.com/maps?q=333 ERIC BELL DR.,+HENDERSON,+TN+38340&hl=en"
CHESTER POLICE DEPARTMENT,"CHESTER POLICE DEPARTMENT 
												
													FRONT LOBBY",1330 SWANWICK ST.,CHESTER,IL,62233,"http://maps.google.com/maps?q=1330 SWANWICK ST.,+CHESTER,+IL+62233&hl=en"
CITY OF COOKEVILLE POLICE DEPT.,ANDY'S PHARMACY,305 W. SPRING STREET,COOKEVILLE,TN,38501,"http://maps.google.com/maps?q=305 W. SPRING STREET,+COOKEVILLE,+TN+38501&hl=en"
CITY OF COOKEVILLE POLICE DEPT.,WALGREENS,950 N. WASHINGTON AVE.,COOKEVILLE,TN,38501,"http://maps.google.com/maps?q=950 N. WASHINGTON AVE.,+COOKEVILLE,+TN+38501&hl=en"
CLAY COUNTY SHERIFF'S DEPARTMENT,CLAY COUNTY SHERIFF'S OFFICE,300 BROADWAY,LOUISVILLE,IL,62858,"http://maps.google.com/maps?q=300 BROADWAY,+LOUISVILLE,+IL+62858&hl=en"
CLAY COUNTY SHERIFF'S OFFICE,CLAY COUNTY SHERIFF'S OFFICE,400 WEST LAKE AVE,CELINA,TN,38551,"http://maps.google.com/maps?q=400 WEST LAKE AVE,+CELINA,+TN+38551&hl=en"
CLINTON COUNTY SHERIFF'S DEPARTMENT,CLINTON COUNTY SHERIFF'S OFFICE,810 FRANKLIN ST.,CARLYLE,IL,62231,"http://maps.google.com/maps?q=810 FRANKLIN ST.,+CARLYLE,+IL+62231&hl=en"
CLINTON POLICE DEPT.,CLINTON POLICE DEPT.,125 W. BROAD ST.,CLINTON,TN,37716,"http://maps.google.com/maps?q=125 W. BROAD ST.,+CLINTON,+TN+37716&hl=en"
COBDEN POLICE DEPARTMENT,COBDEN POLICE DEPARTMENT,112 EAST MAPLE,COBDEN,IL,62920,"http://maps.google.com/maps?q=112 EAST MAPLE,+COBDEN,+IL+62920&hl=en"
COFFEE COUNTY SHERIFF DEPARTMENT,FIRST VISION BANK,2134 HILLSBORO HWY.,MANCHESTER,TN,37355,"http://maps.google.com/maps?q=2134 HILLSBORO HWY.,+MANCHESTER,+TN+37355&hl=en"
COULTERVILLE POLICE DEPARTMENT,CHESTER POLICE DEPT.,1330 SWANWICK ST.,CHESTER,IL,62233,"http://maps.google.com/maps?q=1330 SWANWICK ST.,+CHESTER,+IL+62233&hl=en"
COULTERVILLE POLICE DEPARTMENT,COULTERVILLE POLICE DEPT.,114 N 4TH ST.,COULTERVILLE,IL,62237,"http://maps.google.com/maps?q=114 N 4TH ST.,+COULTERVILLE,+IL+62237&hl=en"
COULTERVILLE POLICE DEPARTMENT,SPARTA POLICE DEPT.,114 W JACKSON ST.,SPARTA,IL,62286,"http://maps.google.com/maps?q=114 W JACKSON ST.,+SPARTA,+IL+62286&hl=en"
CROSSVILLE POLICE DEPT.,CROSSVILLE POLICE DEPT.,115 HENRY ST.,CROSSVILLE,TN,38555,"http://maps.google.com/maps?q=115 HENRY ST.,+CROSSVILLE,+TN+38555&hl=en"
CUMBERLAND CO. SHERIFF'S DEPARTMENT,CUMBERLAND COUNTY SHERIFF,90 JUSTICE CENTER DR,CROSSVILLE,TN,38555,"http://maps.google.com/maps?q=90 JUSTICE CENTER DR,+CROSSVILLE,+TN+38555&hl=en"
