Participant,CollectionSite,Address,City,State,Zip,MapURL
193 SPECIAL OPERATIONS WING,"193 SPECIAL OPERATIONS WING 
												
													MILITARY MEMBERS ONLY !!! NOT A PUBLIC DROP OFF SITE",CONSTELLATION COURT** FOR MILITARY ONLY***,HARRISBURG,PA,17112,"http://maps.google.com/maps?q=CONSTELLATION COURT,+HARRISBURG,+PA+17112&hl=en"
ABINGTON TOWNSHIP POLICE DEPARTMENT,ABINGTON TOWNSHIP POLICE DEPARTMENT,1166 OLD YORK ROAD,ABINGTON,PA,19001,"http://maps.google.com/maps?q=1166 OLD YORK ROAD,+ABINGTON,+PA+19001&hl=en"
AKRON BOROUGH POLICE DEPT,ROYER PHARMACY,113 S 7TH ST,AKRON,PA,17501,"http://maps.google.com/maps?q=113 S 7TH ST,+AKRON,+PA+17501&hl=en"
ALDAN POLICE DEPARTMENT,ALDAN MUNICIPAL BUILDING,ONE WEST PROVIDENCE ROAD,ALDAN,PA,19018,"http://maps.google.com/maps?q=ONE WEST PROVIDENCE ROAD,+ALDAN,+PA+19018&hl=en"
ALLENTOWN POLICE DEPARTMENT,GIANT FOOD STORE #6074,3015 W. EMMAUS AVENUE,ALLENTOWN,PA,18103,"http://maps.google.com/maps?q=3015 W. EMMAUS AVENUE,+ALLENTOWN,+PA+18103&hl=en"
ALLENTOWN POLICE DEPARTMENT,REDNER'S MARKET,1201 AIRPORT ROAD,ALLENTOWN,PA,18109,"http://maps.google.com/maps?q=1201 AIRPORT ROAD,+ALLENTOWN,+PA+18109&hl=en"
ALLENTOWN POLICE DEPARTMENT,ST LUKES ALLENTOWN HOSPITAL,1736 HAMILTON ST,ALLENTOWN,PA,18104,"http://maps.google.com/maps?q=1736 HAMILTON ST,+ALLENTOWN,+PA+18104&hl=en"
BALTIMORE CITY POLICE DEPARTMENT,"BALTIMORE CITY PD 
												
													CENTRAL DISTRICT",500 E. BALTIMORE STREET,BALTIMORE,MD,21202,"http://maps.google.com/maps?q=500 E. BALTIMORE STREET,+BALTIMORE,+MD+21202&hl=en"
BALTIMORE CITY POLICE DEPARTMENT,"BALTIMORE CITY PD 
												
													EASTERN DISTRICT",1620 EDISON HIGHWAY,BALTIMORE,MD,21213,"http://maps.google.com/maps?q=1620 EDISON HIGHWAY,+BALTIMORE,+MD+21213&hl=en"
BALTIMORE CITY POLICE DEPARTMENT,"BALTIMORE CITY PD 
												
													NORTHEASTERN DISTRICT",1900 ARGONNE DRIVE,BALTIMORE,MD,21218,"http://maps.google.com/maps?q=1900 ARGONNE DRIVE,+BALTIMORE,+MD+21218&hl=en"
