Participant,CollectionSite,Address,City,State,Zip,MapURL
ADAMS COUNTY SHERIFFS OFFICE,ADAMS COUNTY GOVERNMENT CENTER,4430 SOUTH ADAMS COUNTY PARKWAY,BRIGHTON,CO,80601,"http://maps.google.com/maps?q=4430 SOUTH ADAMS COUNTY PARKWAY,+BRIGHTON,+CO+80601&hl=en"
ARAPAHOE COUNTY SHERIFF'S OFFICE,BYERS FIRE DEPARTMENT,100N. MAIN ST,BYERS,CO,80103,"http://maps.google.com/maps?q=100N. MAIN ST,+BYERS,+CO+80103&hl=en"
ARAPAHOE COUNTY SHERIFF'S OFFICE,KAISER PERMANENTE,5555 E ARAPAHOE RD,CENTENNIAL,CO,80122,"http://maps.google.com/maps?q=5555 E ARAPAHOE RD,+CENTENNIAL,+CO+80122&hl=en"
ARAPAHOE COUNTY SHERIFF'S OFFICE,SMOKY HILL LIBRARY,5430 S. BISCAY CIR.,AURORA,CO,80015,"http://maps.google.com/maps?q=5430 S. BISCAY CIR.,+AURORA,+CO+80015&hl=en"
AURORA POLICE DEPARTMENT,"PICKENS TECH CENTER 
												
													MAIN PARKING LOT",500 AIRPORT BLVD,AURORA,CO,80012,"http://maps.google.com/maps?q=500 AIRPORT BLVD,+AURORA,+CO+80012&hl=en"
AURORA POLICE DEPARTMENT,"SADDLE ROCK ER 
												
													THE MEDICAL CENTER OF AURORA",22500 E DRY CREEK RD,AURORA,CO,80016,"http://maps.google.com/maps?q=22500 E DRY CREEK RD,+AURORA,+CO+80016&hl=en"
AURORA POLICE DEPARTMENT,"THE MEDICAL CENTER OF AURORA 
												
													NORTH PARKING LOT NEXT TO PARKING GARAGE",1501 S. POTOMAC ST.,AURORA,CO,80012,"http://maps.google.com/maps?q=1501 S. POTOMAC ST.,+AURORA,+CO+80012&hl=en"
BOULDER COUNTY SHERIFFS OFFICE,BOULDER COUNTY SHERIFFS OFFICE,5600 FLATIRON PARKWAY,BOULDER,CO,80301,"http://maps.google.com/maps?q=5600 FLATIRON PARKWAY,+BOULDER,+CO+80301&hl=en"
BOULDER COUNTY SHERIFFS OFFICE,LOCATION 2,405 CENTER DRIVEUNIT F,SUPERIOR,CO,80027,"http://maps.google.com/maps?q=405 CENTER DRIVE,+SUPERIOR,+CO+80027&hl=en"
BOULDER POLICE DEPARTMENT,BOULDER COUNTY CLERK AND RECORDERS OFFICE,1750 33RD ST,BOULDER,CO,80301,"http://maps.google.com/maps?q=1750 33RD ST,+BOULDER,+CO+80301&hl=en"
BUCKLEY AFB,BUCKLEY AFB COMMISSARY,365 N TELLURIDEBLDG #1,BUCKLEY AFB,CO,80011,"http://maps.google.com/maps?q=365 N TELLURIDE,+BUCKLEY AFB,+CO+80011&hl=en"
CASTLE ROCK POLICE DEPARTMENT,CASTLE ROCK POLICE DEPARTMENT,100 PERRY ST.,CASTLE ROCK,CO,80104,"http://maps.google.com/maps?q=100 PERRY ST.,+CASTLE ROCK,+CO+80104&hl=en"
