Participant,CollectionSite,Address,City,State,Zip,MapURL
ABERDEEN POLICE DEPARTMENT,ABERDEEN POLICE DEPARTMENT,114 SE 2ND AVE,ABERDEEN,SD,57401,"http://maps.google.com/maps?q=114 SE 2ND AVE,+ABERDEEN,+SD+57401&hl=en"
ADA PD,ADA PD,410 WEST MAIN STREET,ADA,MN,56510,"http://maps.google.com/maps?q=410 WEST MAIN STREET,+ADA,+MN+56510&hl=en"
AITKIN COUNTY SO,AITKIN COUNTY SHERIFF'S OFFICE,217 2ND STREET NW ROOM #185,AITKIN,MN,56431,"http://maps.google.com/maps?q=217 2ND STREET NW ROOM #185,+AITKIN,+MN+56431&hl=en"
ANTELOPE COUNTY SHERIFF'S OFFICE,ANTELOPE COUNTY SHERIFF'S OFFICE,1102 L STREET,NELIGH,NE,68756,"http://maps.google.com/maps?q=1102 L STREET,+NELIGH,+NE+68756&hl=en"
BATTLE LAKE PD,BATTLE LAKE PD,108 EAST MAIN STREET,BATTLE LAKE,MN,56515,"http://maps.google.com/maps?q=108 EAST MAIN STREET,+BATTLE LAKE,+MN+56515&hl=en"
BECKER PD,"BECKER POLICE DEPARTMENT 
												
													DROPBOX",12060 SHERBURNE AVENUE,BECKER,MN,55308,"http://maps.google.com/maps?q=12060 SHERBURNE AVENUE,+BECKER,+MN+55308&hl=en"
BENSON PD,BENSON PD,1410 KANSAS AVENUE,BENSON,MN,56215,"http://maps.google.com/maps?q=1410 KANSAS AVENUE,+BENSON,+MN+56215&hl=en"
BOX BUTTE COUNTY SHERIFF'S OFFICE,"BOX BUTTE GENERAL HOSPITAL 
												
													SAND HILLS ROOM - (DOUBLE BOXES)",2101 BOX BUTTE AVE,ALLIANCE,NE,69301,"http://maps.google.com/maps?q=2101 BOX BUTTE AVE,+ALLIANCE,+NE+69301&hl=en"
BRANDON POLICE DEPARTMENT,BRANDON POLICE DEPT.,304 S MAIN AVE.,BRANDON,SD,57005,"http://maps.google.com/maps?q=304 S MAIN AVE.,+BRANDON,+SD+57005&hl=en"
BROWN COUNTY SHERIFF'S OFFICE,BROWN COUNTY SHERIFF'S OFFICE,142 WEST 4TH STREET,AINSWORTH,NE,69210,"http://maps.google.com/maps?q=142 WEST 4TH STREET,+AINSWORTH,+NE+69210&hl=en"
BUFFALO COUNTY SHERIFF'S OFFICE,KEARNEY GOOD SAMARITAN HOSPITAL,10 E 31ST STREETNORTH PARKING LOT,KEARNEY,NE,68847,"http://maps.google.com/maps?q=10 E 31ST STREET,+KEARNEY,+NE+68847&hl=en"
BUFFALO LAKE PD,BUFFALO LAKE POLICE DEPARTMENT,301 MAIN STREET NORTH,BUFFALO LAKE,MN,55314,"http://maps.google.com/maps?q=301 MAIN STREET NORTH,+BUFFALO LAKE,+MN+55314&hl=en"
CAMPBELL COUNTY SHERIFF'S OFFICE,CAMPBELL COUNTY PUBLIC HEALTH,2301 S. 4J ROAD,GILLETTE,WY,82718,"http://maps.google.com/maps?q=2301 S. 4J ROAD,+GILLETTE,+WY+82718&hl=en"
CARLTON COUNTY SO,"CARLTON COUNTY SHERIFF'S OFFICE 
												
													MAIN FLOOR LOBBY",317 WALNUT AVENUE,CARLTON,MN,55718,"http://maps.google.com/maps?q=317 WALNUT AVENUE,+CARLTON,+MN+55718&hl=en"
CARLTON COUNTY SO,"CLOQUET POLICE DEPARTMENT 
												
													MAIN LOBBY",508 CLOQUET AVENUE,CLOQUET,MN,55720,"http://maps.google.com/maps?q=508 CLOQUET AVENUE,+CLOQUET,+MN+55720&hl=en"
CARLTON COUNTY SO,"FON DU LAC POLICE DEPARTMENT 
												
													MAIN LOBBY",930 TRETTEL LANE,CLOQUET,MN,55720,"http://maps.google.com/maps?q=930 TRETTEL LANE,+CLOQUET,+MN+55720&hl=en"
CARLTON COUNTY SO,"MOOSE LAKE POLICE DEPARTMENT 
												
													MAIN LOBBY",600 HIGHWAY 73,MOOSE LAKE,MN,55767,"http://maps.google.com/maps?q=600 HIGHWAY 73,+MOOSE LAKE,+MN+55767&hl=en"
CARLTON COUNTY SO,"THOMSON TOWNSHIP TOWN HALL 
												
													MAIN LOBBY",25 EAST HARNEY ROAD,ESKO,MN,55733,"http://maps.google.com/maps?q=25 EAST HARNEY ROAD,+ESKO,+MN+55733&hl=en"
CARVER COUNTY SHERIFF'S OFFICE,"CITY OF NEW GERMANY 
												
													CITY HALL",300 BROADWAY STREET EAST,NEW GERMANY,MN,55367,"http://maps.google.com/maps?q=300 BROADWAY STREET EAST,+NEW GERMANY,+MN+55367&hl=en"
CARVER COUNTY SHERIFF'S OFFICE,"CITY OF WATERTOWN 
												
													CITY HALL",309 LEWIS AVENUE SOUTH,WATERTOWN,MN,55388,"http://maps.google.com/maps?q=309 LEWIS AVENUE SOUTH,+WATERTOWN,+MN+55388&hl=en"
CHERRY COUNTY S.O. VALENTINE P.D.,CHERRY CO S.O./ VALENTINE POLICE DEPT,365 N. MAIN ST.,VALENTINE,NE,69201,"http://maps.google.com/maps?q=365 N. MAIN ST.,+VALENTINE,+NE+69201&hl=en"
CHERRY COUNTY S.O. VALENTINE P.D.,CHERRY COUNTY S.O. - VALENTINE POLICE DEPT,365 N. MAIN STREET,VALENTINE,NE,69201,"http://maps.google.com/maps?q=365 N. MAIN STREET,+VALENTINE,+NE+69201&hl=en"
CODINGTON COUNTY SHERIFFS OFFICE,CODINGTON COUNTY SHERIFF'S OFFICE,14 1ST AVE SE,WATERTOWN,SD,57201,"http://maps.google.com/maps?q=14 1ST AVE SE,+WATERTOWN,+SD+57201&hl=en"
CODY POLICE DEPARTMENT,CODY LAW ENFORCEMENT CENTER,1402 RIVER VIEW DRIVE,CODY,WY,82414,"http://maps.google.com/maps?q=1402 RIVER VIEW DRIVE,+CODY,+WY+82414&hl=en"
