Participant,CollectionSite,Address,City,State,Zip,MapURL
ADULT PROBATION & PAROLE - SALT LAKE CITY,ADULT PROBATION & PAROLE/REGION III,36 WEST FREMONT AVE,SALT LAKE CITY,UT,84101,"http://maps.google.com/maps?q=36 WEST FREMONT AVE,+SALT LAKE CITY,+UT+84101&hl=en"
ADULT PROBATION & PAROLE - WEST VALLEY,CENTRAL VALLEY OFFICE/ADULT PROBATION & PAROLE,3280 WEST 3500 SOUTH,WEST VALLEY CITY,UT,84119,"http://maps.google.com/maps?q=3280 WEST 3500 SOUTH,+WEST VALLEY CITY,+UT+84119&hl=en"
BLACKFOOT POLICE DEPT,PATRIOT FIELD (AT THE CORNER OF FRANCIS AND ASH),FRANCIS AND ASH,BLACKFOOT,ID,83221,"http://maps.google.com/maps?q=FRANCIS AND ASH,+BLACKFOOT,+ID+83221&hl=en"
BOUNTIFUL POLICE,SMITH'S MARKETPLACE,555 S 200 W,BOUNTIFUL,UT,84010,"http://maps.google.com/maps?q=555 S 200 W,+BOUNTIFUL,+UT+84010&hl=en"
CARIBOU COUNTY SHERIFF'S OFFICE,"CARIBOU COUNTY SENIOR CITIZEN CENTER EVENT WILL BE HELD WEDNESDAY AFTERNOON, APRIL 25TH",60 S. MAIN STREET,SODA SPRINGS,ID,83276,"http://maps.google.com/maps?q=60 S. MAIN STREET,+SODA SPRINGS,+ID+83276&hl=en"
CARIBOU COUNTY SHERIFF'S OFFICE,"CARIBOU COUNTY SHERIFF'S OFFICE M-F, 9-5",475 E. 2ND S.,SODA SPRINGS,ID,83276,"http://maps.google.com/maps?q=475 E. 2ND S.,+SODA SPRINGS,+ID+83276&hl=en"
CASSIA COUNTY SHERIFF,SMITH'S FOOD PARKING LOT,937 E. MAIN,BURLEY,ID,83318,"http://maps.google.com/maps?q=937 E. MAIN,+BURLEY,+ID+83318&hl=en"
CENTERVILLE POLICE DEPARTMENT,CENTERVILLE POLICE DEPARTMENT,250 N. MAIN ST.,CENTERVILLE,UT,84014,"http://maps.google.com/maps?q=250 N. MAIN ST.,+CENTERVILLE,+UT+84014&hl=en"
CLINTON POLICE DEPARTMENT,MACEY'S GROCERY STORE,2062 WEST 1800 NORTH,CLINTON,UT,84015,"http://maps.google.com/maps?q=2062 WEST 1800 NORTH,+CLINTON,+UT+84015&hl=en"
COLDWELL BANKER,COLDWELL BANKER,2180 S. 1300 E. #140,SALT LAKE CITY,UT,84106,"http://maps.google.com/maps?q=2180 S. 1300 E. #140,+SALT LAKE CITY,+UT+84106&hl=en"
CORTEZ POLICE DEPARTMENT,WALGREENS,1671 E MAIN STREET,CORTEZ,CO,81321,"http://maps.google.com/maps?q=1671 E MAIN STREET,+CORTEZ,+CO+81321&hl=en"
DELTA POLICE DEPARTMENT,DELTA POLICE DEPARTMENT,215 W. 5TH ST.,DELTA,CO,81416,"http://maps.google.com/maps?q=215 W. 5TH ST.,+DELTA,+CO+81416&hl=en"
DURANGO POLICE DEPARTMENT,DURANGO POLICE DEPARTMENT,990 EAST 2ND AVE,DURANGO,CO,81303,"http://maps.google.com/maps?q=990 EAST 2ND AVE,+DURANGO,+CO+81303&hl=en"
EAST CARBON P.D.,EAST CARBON POLICE DEPT.,101 W. GENEVA DR.,EAST CARBON,UT,84520,"http://maps.google.com/maps?q=101 W. GENEVA DR.,+EAST CARBON,+UT+84520&hl=en"
FARMINGTON PD REGION II,FARMERS MARKET PARKING LOT,401 W BROADWAY AVE,BLOOMFIELD,NM,87413,"http://maps.google.com/maps?q=401 W BROADWAY AVE,+BLOOMFIELD,+NM+87413&hl=en"
FARMINGTON PD REGION II,SAFEWAY PARKING LOT,415 N MAIN AVE,AZTEC,NM,87410,"http://maps.google.com/maps?q=415 N MAIN AVE,+AZTEC,+NM+87410&hl=en"
FARMINGTON PD REGION II,SAN JUAN COUNTY SHERIFF'S OFFICE KIRTLAND SUB-STATION,6 COUNTY ROAD 6360,KIRTLAND,NM,87417,"http://maps.google.com/maps?q=6 COUNTY ROAD 6360,+KIRTLAND,+NM+87417&hl=en"
FARMINGTON PD REGION II,WALGREENS,4221 E MAIN STREET,FARMINGTON,NM,87402,"http://maps.google.com/maps?q=4221 E MAIN STREET,+FARMINGTON,+NM+87402&hl=en"
FARMINGTON PD REGION II,WALGREENS,701 E 20TH ST,FARMINGTON,NM,87401,"http://maps.google.com/maps?q=701 E 20TH ST,+FARMINGTON,+NM+87401&hl=en"
FARMINGTON POLICE DEPARTMENT,SMITH'S FOOD & DRUG,1316 NORTH U.S. HIGHWAY 89,FARMINGTON,UT,84025,"http://maps.google.com/maps?q=1316 NORTH U.S. HIGHWAY 89,+FARMINGTON,+UT+84025&hl=en"
