Participant,CollectionSite,Address,City,State,Zip,MapURL
ALBEMARLE COUNTY POLICE DEPARTMENT,"MARTHA JEFFERSON HOSPITAL 
												
													BACKSIDE OF MAIN HOSPITAL",500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA,22911,"http://maps.google.com/maps?q=500 MARTHA JEFFERSON DRIVE,+CHARLOTTESVILLE,+VA+22911&hl=en"
ALEXANDRIA POLICE DEPARTMENT,ALEXANDRIA FIRE STATION 210,5525 EISENHOWER AVE,ALEXANDRIA,VA,22304,"http://maps.google.com/maps?q=5525 EISENHOWER AVE,+ALEXANDRIA,+VA+22304&hl=en"
ALEXANDRIA POLICE DEPARTMENT,"ALEXANDRIA POLICE HEADQUARTERS 
												
													FRONT ENTRANCE",3600 WHEELER AVENUE,ALEXANDRIA,VA,22304,"http://maps.google.com/maps?q=3600 WHEELER AVENUE,+ALEXANDRIA,+VA+22304&hl=en"
ALEXANDRIA POLICE DEPARTMENT,"FIRST BAPTIST CHURCH 
												
													FRONT ENTRANCE",2932 KING STREET,ALEXANDRIA,VA,22302,"http://maps.google.com/maps?q=2932 KING STREET,+ALEXANDRIA,+VA+22302&hl=en"
ALEXANDRIA SHERIFF'S OFFICE,"NEIGHBORHOOD PHARMACY 
												
													FRONT OF THE BUILDING",2204 MT. VERNON AVENUE,ALEXANDRIA,VA,22301,"http://maps.google.com/maps?q=2204 MT. VERNON AVENUE,+ALEXANDRIA,+VA+22301&hl=en"
ALTAVISTA POLICE DEPARTMENT,"YMCA 
												
													SPORTS CENTER",718 7TH ST,ALTAVISTA,VA,24517,"http://maps.google.com/maps?q=718 7TH ST,+ALTAVISTA,+VA+24517&hl=en"
AMELIA COUNTY SHERFF'S OFFICE,"AMELIA PHARMACY INC. 
												
													FRONT SIDEWALK BY STORE ENTRANCE",15412 PATRICK HENRY HWY.,AMELIA,VA,23002,"http://maps.google.com/maps?q=15412 PATRICK HENRY HWY.,+AMELIA,+VA+23002&hl=en"
AMELIA COUNTY SHERFF'S OFFICE,"RITE AID PHARMACY 
												
													FRONT SIDEWALK BY STORE ENTRANCE",15105 PATRICK HENRY HWY,AMELIA,VA,23002,"http://maps.google.com/maps?q=15105 PATRICK HENRY HWY,+AMELIA,+VA+23002&hl=en"
APPOMATTOX COUNTY SHERIFF'S OFFICE,KROGER,7851 RICHMOND HWY,APPOMATTOX,VA,24522,"http://maps.google.com/maps?q=7851 RICHMOND HWY,+APPOMATTOX,+VA+24522&hl=en"
ARLINGTON COUNTY POLICE DEPARTMENT,"ARLINGTON FIRE STATION #9 
												
													MAIN LEVEL COMMUNITY ROOM",1900 SOUTH WALTER REED DRIVE,ARLINGTON,VA,22204,"http://maps.google.com/maps?q=1900 SOUTH WALTER REED DRIVE,+ARLINGTON,+VA+22204&hl=en"
ARLINGTON COUNTY POLICE DEPARTMENT,GUNSTON COMMUNITY CENTER,2700 SOUTH LANG STREET,ARLINGTON,VA,22206,"http://maps.google.com/maps?q=2700 SOUTH LANG STREET,+ARLINGTON,+VA+22206&hl=en"
ARLINGTON COUNTY POLICE DEPARTMENT,LANGSTON COMMUNITY CENTER,2121 NORTH CULPEPER STREET,ARLINGTON,VA,22207,"http://maps.google.com/maps?q=2121 NORTH CULPEPER STREET,+ARLINGTON,+VA+22207&hl=en"
ASHLAND POLICE DEPARTMENT,"ASHLAND POLICE DEPARTMENT 
												
													VISITOR PARKING LOT",601 ENGLAND STREET,ASHLAND,VA,23005,"http://maps.google.com/maps?q=601 ENGLAND STREET,+ASHLAND,+VA+23005&hl=en"
AUGUSTA COUNTY SHERIIF'S OFFICE,AUGUSTA COUNTY SHERIFF'S OFFICE,127 LEE HIGHWAY,VERONA,VA,24482,"http://maps.google.com/maps?q=127 LEE HIGHWAY,+VERONA,+VA+24482&hl=en"
BLACKSBURG POLICE DEPARTMENT,"BLACKSBURG RECREATION CENTER 
												
													PARKING LOT",725 PATRICK HENRY DRIVE,BLACKSBURG,VA,24060,"http://maps.google.com/maps?q=725 PATRICK HENRY DRIVE,+BLACKSBURG,+VA+24060&hl=en"
BOTETOURT COUNTY SHERIFF'S OFFICE,BOTETOURT PHYSICAL THERAPY,104 KINGSTON DRIVE,DALEVILLE,VA,24083,"http://maps.google.com/maps?q=104 KINGSTON DRIVE,+DALEVILLE,+VA+24083&hl=en"
BRAXTON CO. SHERRI'FS OFFICE,"BRAXTON COUNTY COURT HOUSE 
												
													IN FRONT OF COURTHOUSE",300 MAIN STREET,SUTTON,WV,26601,"http://maps.google.com/maps?q=300 MAIN STREET,+SUTTON,+WV+26601&hl=en"
BRIDGEPORT POLICE DEPARTMENT,"BRIDGEPORT POLICE DEPARTMENT 
												
													DPTY CHIEF R. HARTLEY",515 WEST MAIN STREET,BRIDGEPORT,WV,26330,"http://maps.google.com/maps?q=515 WEST MAIN STREET,+BRIDGEPORT,+WV+26330&hl=en"
BUENA VISTA POLICE DEPARTMENT,"CVS PHARMACY 
												
													EXTERIOR BREEZEWAY",2148 E. MIDLAND TRAIL,BUENA VISTA,VA,24416,"http://maps.google.com/maps?q=2148 E. MIDLAND TRAIL,+BUENA VISTA,+VA+24416&hl=en"
CALVERT COUNTY SHERIFF'S OFFICE,MT. HOPE COMMUNITY CENTER,104 PUSHAW STATION RD.,SUNDERLAND,MD,20689,"http://maps.google.com/maps?q=104 PUSHAW STATION RD.,+SUNDERLAND,+MD+20689&hl=en"
CALVERT COUNTY SHERIFF'S OFFICE,SOUTHERN COMMUNITY CENTER,20 APPEAL LANE,LUSBY,MD,20657,"http://maps.google.com/maps?q=20 APPEAL LANE,+LUSBY,+MD+20657&hl=en"
CAROLINE COUNTY SHERIFF'S OFFICE,"CAROLINE SQUARE SHOPPING CENTER PARKING LOT 
												
													PARKING LOT NEAR RITE AID PHARMACY ENTRANCE",104 W. BROADDUS AVENUE,BOWLING GREEN,VA,22427,"http://maps.google.com/maps?q=104 W. BROADDUS AVENUE,+BOWLING GREEN,+VA+22427&hl=en"
CAROLINE COUNTY SHERIFF'S OFFICE,"CVS PHARMACY 
												
													PARKING LOT",18048 JEFFERSON DAVIS HIGHWAY,RUTHER GLEN,VA,22546,"http://maps.google.com/maps?q=18048 JEFFERSON DAVIS HIGHWAY,+RUTHER GLEN,+VA+22546&hl=en"
CARROLL COUNTY SHERIFF'S OFFICE,CVS PHARMACY - HILLSVILLE,915 WEST STUART DRIVE,HILLSVILLE,VA,24343,"http://maps.google.com/maps?q=915 WEST STUART DRIVE,+HILLSVILLE,+VA+24343&hl=en"
CARROLL COUNTY SHERIFF'S OFFICE,MOUNT AIRY POLICE DEPARTMENT,"205 CENTER STREET,SUITE 203",MOUNT AIRY,MD,21771,"http://maps.google.com/maps?q=205 CENTER STREET,,+MOUNT AIRY,+MD+21771&hl=en"
CHARLES COUNTY GOVERNMENT,"CHARLES COUNTY GOVERNMENT 
												
													MAIN ENTRANCE PARKING LOT",200 BALTIMORE STREET,LA PLATA,MD,20646,"http://maps.google.com/maps?q=200 BALTIMORE STREET,+LA PLATA,+MD+20646&hl=en"
CHESTERFIELD COUNTY POLICE DEPARTMENT,"MANCHESTER HIGH SCHOOL 
												
													FRONT LOOP",12601 BAILEY BRIDGE RD,MIDLOTHIAN,VA,23112,"http://maps.google.com/maps?q=12601 BAILEY BRIDGE RD,+MIDLOTHIAN,+VA+23112&hl=en"
CHEVY CHASE VILLAGE POLICE DEPARTMENT,CHEVY CHASE VILLAGE POLICE DEPARTMENT,5906 CONNECTICUT AVENUE,CHEVY CHASE,MD,20815,"http://maps.google.com/maps?q=5906 CONNECTICUT AVENUE,+CHEVY CHASE,+MD+20815&hl=en"
CHRISTIANSBURG POLICE DEPARTMENT,"CVS PHARMACY 
												
													PARKING LOT NEAR ENTRANCE",550 NORTH FRANKLIN ST,CHRISTIANSBURG,VA,24073,"http://maps.google.com/maps?q=550 NORTH FRANKLIN ST,+CHRISTIANSBURG,+VA+24073&hl=en"
CLARKSBURG POLICE DEPARTMENT,CLARKSBURG POLICE DEPARTMENT,222 WEST MAIN STREETREAR LOT,CLARKSBURG,WV,26301,"http://maps.google.com/maps?q=222 WEST MAIN STREET,+CLARKSBURG,+WV+26301&hl=en"
CLAY COUNTY SHERIFF DEPT.,"CLAY COUNTY COURT HOUSE 
												
													FRONT DOOR/COURTYARD SQUARE",246 MAIN STREET,CLAY,WV,25043,"http://maps.google.com/maps?q=246 MAIN STREET,+CLAY,+WV+25043&hl=en"
COLONIAL HEIGHTS POLICE DEPARTMENT,TOYS R. US PARKING LOT,1869 SOUTHPARK BLVD,COLONIAL HEIGHTS,VA,23834,"http://maps.google.com/maps?q=1869 SOUTHPARK BLVD,+COLONIAL HEIGHTS,+VA+23834&hl=en"
CRAIG COUNTY SHERIFF'S OFFICE,"MARKET STREET PHARMACY 
												
													PARKING LOT",317 MARKET ST,NEW CASTLE,VA,24127,"http://maps.google.com/maps?q=317 MARKET ST,+NEW CASTLE,+VA+24127&hl=en"
DANVILLE POLICE DEPARTMENT,"CENTRA MEDICAL GROUP DANVILLE 
												
													PARKING LOT - WEST END OF THE BUILDING",414 PARK AVE,DANVILLE,VA,24541,"http://maps.google.com/maps?q=414 PARK AVE,+DANVILLE,+VA+24541&hl=en"
DEA / MONTCLAIR LIONS CLUB,"MONTCLAIR SHOPPING CENTER 
												
													IN FRONT OF FRAMING OUTLET",5183 WATERWAY DRIVE,DUMFRIES,VA,22025,"http://maps.google.com/maps?q=5183 WATERWAY DRIVE,+DUMFRIES,+VA+22025&hl=en"
DEA HQ_TESTING,DEA HEADQUARTERS,700 ARMY NAVY DRIVE,ARLINGTON,VA,22202,"http://maps.google.com/maps?q=700 ARMY NAVY DRIVE,+ARLINGTON,+VA+22202&hl=en"
DUBLIN POLICE DEPARTMENT,CVS PHARMACY #7658,100 GILES AVENUE,DUBLIN,VA,24084,"http://maps.google.com/maps?q=100 GILES AVENUE,+DUBLIN,+VA+24084&hl=en"
FAIRFAX CITY POLICE DEPARTMENT,"FAIRFAX CITY POLICE DEPARTMENT 
												
													FRONT LOBBY",3730 OLD LEE HIGHWAY,FAIRFAX,VA,22030,"http://maps.google.com/maps?q=3730 OLD LEE HIGHWAY,+FAIRFAX,+VA+22030&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"FAIR OAKS DISTRICT STATION 
												
													PARKING LOT -OPERATING 10 AM TO 2 PM-",12300 LEE JACKSON MEMORIAL HIGHWAY,FAIRFAX,VA,22033,"http://maps.google.com/maps?q=12300 LEE JACKSON MEMORIAL HIGHWAY,+FAIRFAX,+VA+22033&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"FRANCONIA DISTRICT STATION 
												
													FRONT PARKING LOT -OPERATING 10 AM TO 2 PM-",6121 FRANCONIA ROAD,ALEXANDRIA,VA,22310,"http://maps.google.com/maps?q=6121 FRANCONIA ROAD,+ALEXANDRIA,+VA+22310&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"MASON DISTRICT STATION 
												
													FRONT PARKING LOT -OPERATING 10 AM TO 2 PM-",6507 COLUMBIA PIKE,ANNANDALE,VA,22003,"http://maps.google.com/maps?q=6507 COLUMBIA PIKE,+ANNANDALE,+VA+22003&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"MCLEAN DISTRICT POLICE STATION 
												
													FRONT PARKING LOT -OPERATING 10 AM TO 2 PM-",1437 BALLS HILL ROAD,MCLEAN,VA,22101,"http://maps.google.com/maps?q=1437 BALLS HILL ROAD,+MCLEAN,+VA+22101&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"MOUNT VERNON DISTRICT POLICE STATION 
												
													FRONT PARKING LOT -OPERATING 10 AM TO 2 PM-",2511 PARKERS LANE,ALEXANDRIA,VA,22306,"http://maps.google.com/maps?q=2511 PARKERS LANE,+ALEXANDRIA,+VA+22306&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"RESTON DISTRICT STATION 
												
													PARKING LOT -OPERATING 10 AM TO 2 PM-",12000 BOWMAN TOWNE DRIVE,RESTON,VA,20190,"http://maps.google.com/maps?q=12000 BOWMAN TOWNE DRIVE,+RESTON,+VA+20190&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"SULLY DISTRICT POLICE STATION 
												
													FRONT PARKING LOT -OPERATING 10 AM TO 2 PM-",4900 STONECROFT BOULEVARD,CHANTILLY,VA,20151,"http://maps.google.com/maps?q=4900 STONECROFT BOULEVARD,+CHANTILLY,+VA+20151&hl=en"
FAIRFAX COUNTY POLICE DEPARTMENT,"WEST SPRINGFIELD DISTRICT STATION 
												
													PARKING LOT -OPERATING 10 AM TO 2 PM-",6140 ROLLING ROAD,SPRINGFIELD,VA,22152,"http://maps.google.com/maps?q=6140 ROLLING ROAD,+SPRINGFIELD,+VA+22152&hl=en"
FAIRMONT POLICE DEPARTMENT,"FAIRMONT POLICE DEPARTMENT 
												
													PUBLIC SAFETY BUILDING",500 QUINCY STREET,FAIRMONT,WV,26554,"http://maps.google.com/maps?q=500 QUINCY STREET,+FAIRMONT,+WV+26554&hl=en"
FALLS CHURCH POLICE DEPARTMENT,"FALLS CHURCH CITY HALL 
												
													EXTERIOR",300 PARK AVE,FALLS CHURCH,VA,22046,"http://maps.google.com/maps?q=300 PARK AVE,+FALLS CHURCH,+VA+22046&hl=en"
FARMVILLE POLICE DEPARTMENT/LONGWOOD UNIVERSITY PD,"MIDTOWN SQUARE 
												
													IN FRONT OF CHICK-FIL-A",156 S. SOUTH STREET,FARMVILLE,VA,23901,"http://maps.google.com/maps?q=156 S. SOUTH STREET,+FARMVILLE,+VA+23901&hl=en"
FAYETTE COUNTY SHERIFF'S OFFICE,FAYETTE COUNTY SHERIFF'S OFFICE,100 NORTH COURT ST. STE 5,FAYETTEVILLE,WV,25840,"http://maps.google.com/maps?q=100 NORTH COURT ST. STE 5,+FAYETTEVILLE,+WV+25840&hl=en"
FLOYD COUNTY SHERIFF'S OFFICE,"FLOYD COUNTY SHERIFF'S OFFICE 
												
													MAIN ENTRANCE",100 MAIN STREET,FLOYD,VA,24091,"http://maps.google.com/maps?q=100 MAIN STREET,+FLOYD,+VA+24091&hl=en"
FLUVANNA COUNTY SHERIFF'S OFFICE,CVS PHARMACY,28 ABBY ROAD,PALMYRA,VA,22963,"http://maps.google.com/maps?q=28 ABBY ROAD,+PALMYRA,+VA+22963&hl=en"
FORT DETRICK EMERGENCY SERVICES,"COMMISSARY BUILDING 1510 
												
													POC DET. LESTER MUMMERT",BUILDING # 1510,FORT DETRICK,MD,21702,"http://maps.google.com/maps?q=BUILDING # 1510,+FORT DETRICK,+MD+21702&hl=en"
FORT DETRICK EMERGENCY SERVICES,"DIRECTORATE OF EMERGENCY SERVICES 
												
													POC DET. LESTER MUMMERT",BUILDING # 1419,FORT DETRICK,MD,21702,"http://maps.google.com/maps?q=BUILDING # 1419,+FORT DETRICK,+MD+21702&hl=en"
FORT DETRICK EMERGENCY SERVICES,FOREST GLENN ANNEX,FOREST GLENN ANNEX,FREDERICK,MD,21702,"http://maps.google.com/maps?q=FOREST GLENN ANNEX,+FREDERICK,+MD+21702&hl=en"
FRANKLIN COUNTY SHERIFF'S OFFICE,FERRUM COLLEGE PD OFFICE,10021 FRANKLIN STREET,FERRUM,VA,24088,"http://maps.google.com/maps?q=10021 FRANKLIN STREET,+FERRUM,+VA+24088&hl=en"
FRANKLIN COUNTY SHERIFF'S OFFICE,FRANKLIN COUNTY SHERIFF'S  WESTLAKE SUBSTATION,13205 BOOKER T. WASHINGTON HWY,HARDY,VA,24101,"http://maps.google.com/maps?q=13205 BOOKER T. WASHINGTON HWY,+HARDY,+VA+24101&hl=en"
FREDERICK COUNTY SHERIFF'S OFFICE,FREDERICK COUNTY PUBLIC SAFETY BUILDING,1080 COVERSTONE DRIVE,WINCHESTER,VA,22602,"http://maps.google.com/maps?q=1080 COVERSTONE DRIVE,+WINCHESTER,+VA+22602&hl=en"
FREDERICK COUNTY SHERIFF'S OFFICE,WALGREENS,131 VALLEY MILL ROAD,WINCHESTER,VA,22602,"http://maps.google.com/maps?q=131 VALLEY MILL ROAD,+WINCHESTER,+VA+22602&hl=en"
FREDERICK POLICE DEPARTMENT,TRINITY SCHOOL,6040 NEW DESIGN ROAD,FREDERICK,MD,21703,"http://maps.google.com/maps?q=6040 NEW DESIGN ROAD,+FREDERICK,+MD+21703&hl=en"
FREDERICKSBURG POLICE DEPARTMENT,"MARY WASHINGTON HOSPITAL 
												
													TOMPKINS-MARTIN MEDICAL PLAZA",1101 SAM PERRY BLVD,FREDERICKSBURG,VA,22401,"http://maps.google.com/maps?q=1101 SAM PERRY BLVD,+FREDERICKSBURG,+VA+22401&hl=en"
GAITHERSBURG POLICE DEPARTMENT,GAITHERSBURG POLICE DEPARTMENT,14 FULKS CORNER AVENUE,GAITHERSBURG,MD,20877,"http://maps.google.com/maps?q=14 FULKS CORNER AVENUE,+GAITHERSBURG,+MD+20877&hl=en"
GARRETT COUNTY SHERIFF'S OFFICE,"GARRETT COUNTY SHERIFF'S OFFICE 
												
													POC MIKE BITTINGER",311 EAST ALDER STREET,OAKLAND,MD,21550,"http://maps.google.com/maps?q=311 EAST ALDER STREET,+OAKLAND,+MD+21550&hl=en"
GEORGE MASON UNIVERSITY POLICE DEPARTMENT,GEORGE MASON UNIVERSITY POLICE STATION,4393 UNIVERSITY DRIVE,FAIRFAX,VA,22030,"http://maps.google.com/maps?q=4393 UNIVERSITY DRIVE,+FAIRFAX,+VA+22030&hl=en"
GILES COUNTY SHERIFF'S OFFICE,GILES COUNTY SHERIFF'S OFFICE,1 TAYLOR AVENUE SUITE 3,PEARISBURG,VA,24134,"http://maps.google.com/maps?q=1 TAYLOR AVENUE SUITE 3,+PEARISBURG,+VA+24134&hl=en"
GOOCHLAND COUNTY SHERIFF'S OFFICE,GOOCHLAND FIRE/RESCUE COMPANY 5,2710 FAIRGROUNDS ROAD,GOOCHLAND,VA,23063,"http://maps.google.com/maps?q=2710 FAIRGROUNDS ROAD,+GOOCHLAND,+VA+23063&hl=en"
GOOCHLAND COUNTY SHERIFF'S OFFICE,WEST CREEK EMERGENCY CENTER,12720 TUCKAHOE CREEK PKWY,HENRICO,VA,23238,"http://maps.google.com/maps?q=12720 TUCKAHOE CREEK PKWY,+HENRICO,+VA+23238&hl=en"
GORDONSVILLE POLICE DEPARTMENT,FOOD LION,408 GORDON AVE,GORDONSVILLE,VA,22942,"http://maps.google.com/maps?q=408 GORDON AVE,+GORDONSVILLE,+VA+22942&hl=en"
GRAFTON POLICE DEPARTMENT,GRAFTON POLICE DEPARTMENT,1 WEST MAIN ST,GRAFTON,WV,26354,"http://maps.google.com/maps?q=1 WEST MAIN ST,+GRAFTON,+WV+26354&hl=en"
GREENBELT POLICE DEPARTMENT,GREENBELT CITY OFFICES,25 CRESCENT ROAD,GREENBELT,MD,20770,"http://maps.google.com/maps?q=25 CRESCENT ROAD,+GREENBELT,+MD+20770&hl=en"
HAMPSHIRE COUNTY SHERIFF'S OFFICE,HAMPSHIRE COUNTY SD,66 N HIGH STREET,ROMNEY,WV,26757,"http://maps.google.com/maps?q=66 N HIGH STREET,+ROMNEY,+WV+26757&hl=en"
HANOVER COUNTY SHERIFF'S OFFICE,MECHANICSVILLE CONVENIENCE CENTER,7427 VERDI LANE,MECHANICSVILLE,VA,23116,"http://maps.google.com/maps?q=7427 VERDI LANE,+MECHANICSVILLE,+VA+23116&hl=en"
HENRICO POLICE DEPARTMENT,EASTERN HENRICO RECREATION CENTER,1440 N. LABURNUM AVENUE,RICHMOND,VA,23223,"http://maps.google.com/maps?q=1440 N. LABURNUM AVENUE,+RICHMOND,+VA+23223&hl=en"
HENRICO POLICE DEPARTMENT,"HENRICO TRAINING CENTER 
												
													ENTRANCE IS ON SHRADER ROAD",7721 E. PARHAM ROAD,HENRICO,VA,23294,"http://maps.google.com/maps?q=7721 E. PARHAM ROAD,+HENRICO,+VA+23294&hl=en"
HENRICO POLICE DEPARTMENT,VARINA PUBLIC LIBRARY,1875 NEW MARKET ROAD,HENRICO,VA,23231,"http://maps.google.com/maps?q=1875 NEW MARKET ROAD,+HENRICO,+VA+23231&hl=en"
HERNDON POLICE DEPARTMENT,"HERNDON POLICE DEPARTMENT 
												
													LOBBY AREA",397 HERNDON PARKWAY,HERNDON,VA,20170,"http://maps.google.com/maps?q=397 HERNDON PARKWAY,+HERNDON,+VA+20170&hl=en"
HIGHLAND COUNTY SHERIFF'S OFFICE,HIGHLAND COUNTY SHERIFF'S OFFICE,145 WEST MAIN STREET,MONTEREY,VA,24465,"http://maps.google.com/maps?q=145 WEST MAIN STREET,+MONTEREY,+VA+24465&hl=en"
HOPEWELL POLICE DEPARTMENT,"HOPEWELL POLICE DEPARTMENT 
												
													PARKING LOT BY MAIN ENTRANCE",300 N. MAIN STREET,HOPEWELL,VA,23860,"http://maps.google.com/maps?q=300 N. MAIN STREET,+HOPEWELL,+VA+23860&hl=en"
HOWARD COUNTY POLICE DEPARTMENT,"HOWARD COUNTY POLICE 
												
													SOUTHERN DISTRICT",11226 SCAGGSVILLE RD.,LAUREL,MD,20723,"http://maps.google.com/maps?q=11226 SCAGGSVILLE RD.,+LAUREL,+MD+20723&hl=en"
HYATTSVILLE CITY POLICE,HYATTSVILLE CITY POLICE DEPARTMENT,4310 GALLATIN STREET,HYATTSVILLE,MD,20781,"http://maps.google.com/maps?q=4310 GALLATIN STREET,+HYATTSVILLE,+MD+20781&hl=en"
JAMES CITY COUNTY POLICE DEPARTMENT,"JAMES CITY COUNTY POLICE DEPARTMENT 
												
													LAW ENFORCEMENT CENTER",4600 OPPORTUNITY WAY,WILLIAMSBURG,VA,23188,"http://maps.google.com/maps?q=4600 OPPORTUNITY WAY,+WILLIAMSBURG,+VA+23188&hl=en"
JEFFERSON COUNTY SHERIFF'S OFFICE,CHARLES TOWN WALMART,96 PATRICK HENRY WAY,CHARLES TOWN,WV,25414,"http://maps.google.com/maps?q=96 PATRICK HENRY WAY,+CHARLES TOWN,+WV+25414&hl=en"
JEFFERSON COUNTY SHERIFF'S OFFICE,JEFFERSON COUNTY SHERIFF,102 INDUSTRIAL BOULEVARD,KEARNEYSVILLE,WV,25430,"http://maps.google.com/maps?q=102 INDUSTRIAL BOULEVARD,+KEARNEYSVILLE,+WV+25430&hl=en"
KING AND QUEEN SHERIFF'S OFFICE,"PUMONKEY REGIONAL LIBRARY 
												
													FRONT PARKING LOT",396 NEWTOWN ROAD,SAINT STEPHENS CHURCH,VA,23148,"http://maps.google.com/maps?q=396 NEWTOWN ROAD,+SAINT STEPHENS CHURCH,+VA+23148&hl=en"
KING GEORGE SHERIFF'S OFFICE,KING GEORGE SHERIFF'S  FRONT PARKING LOT,10445 GOVERNMENT CENTER BLVD.,KING GEORGE,VA,22485,"http://maps.google.com/maps?q=10445 GOVERNMENT CENTER BLVD.,+KING GEORGE,+VA+22485&hl=en"
KING WILLIAM COUNTY SHERIFF'S OFFICE,"CENTRAL CROSSING FOOD LION 
												
													PARKING LOT AREA NEAR FRONT OF STORE",4915 RICHMOND TAPPAHANNOCK HIGHWAY,AYLETT,VA,23009,"http://maps.google.com/maps?q=4915 RICHMOND TAPPAHANNOCK HIGHWAY,+AYLETT,+VA+23009&hl=en"
LAUREL POLICE DEPARTMENT,LAUREL POLICE DEPARTMENT,811 FIFTH STREET,LAUREL,MD,20707,"http://maps.google.com/maps?q=811 FIFTH STREET,+LAUREL,+MD+20707&hl=en"
LAWRENCEVILLE POLICE DEPARTMENT,"LAWRENCEVILLE MUNICIPAL BUILDING 
												
													AT THE ENTRANCE TO THE POLICE DEPARTMENT",400 N. MAIN STREET,LAWRENCEVILLE,VA,23868,"http://maps.google.com/maps?q=400 N. MAIN STREET,+LAWRENCEVILLE,+VA+23868&hl=en"
LEXINGTON POLICE DEPARTMENT,CVS PHARMACY,506 E NELSON STREET,LEXINGTON,VA,24450,"http://maps.google.com/maps?q=506 E NELSON STREET,+LEXINGTON,+VA+24450&hl=en"
LOUDOUN COUNTY SHERIFF'S OFFICE,"DULLES SOUTH PUBLIC SAFETY CENTER 
												
													FRONT LOBBY AREA",25216 LOUDOUN PARKWAY,CHANTILLY,VA,20152,"http://maps.google.com/maps?q=25216 LOUDOUN PARKWAY,+CHANTILLY,+VA+20152&hl=en"
LOUDOUN COUNTY SHERIFF'S OFFICE,"EASTERN LOUDOUN STATION 
												
													FRONT LOBBY AREA",46620 EAST FREDERICK DRIVE,STERLING,VA,20164,"http://maps.google.com/maps?q=46620 EAST FREDERICK DRIVE,+STERLING,+VA+20164&hl=en"
LOUDOUN COUNTY SHERIFF'S OFFICE,"LANDSDOWNE PUBLIC SAFETY CENTER 
												
													FRONT LOBBY/ENTRANCE AREA",19485 SANDRIDGE WAY,LEESBURG,VA,20176,"http://maps.google.com/maps?q=19485 SANDRIDGE WAY,+LEESBURG,+VA+20176&hl=en"
LOUDOUN COUNTY SHERIFF'S OFFICE,LOVETTSVILLE TOWN HALL,6 E PENNSYLVANIA AVE,LOVETTSVILLE,VA,20180,"http://maps.google.com/maps?q=6 E PENNSYLVANIA AVE,+LOVETTSVILLE,+VA+20180&hl=en"
LOUISA COUNTY SHERIFF'S OFFICE,LOUISA COUNTY SHERIFF'S OFFICE,1 WOOLFOLK AVE,LOUISA,VA,23093,"http://maps.google.com/maps?q=1 WOOLFOLK AVE,+LOUISA,+VA+23093&hl=en"
LYNCHBURG POLICE DEPARTMENT,"LYNCHBURG POLICE DEPARTMENT 
												
													LOBBY",905 COURT STREET,LYNCHBURG,VA,24504,"http://maps.google.com/maps?q=905 COURT STREET,+LYNCHBURG,+VA+24504&hl=en"
MADISON COUNTY SHERIFF'S OFFICE,MADISON COUNTY SHERIFF'S OFFICE,115 CHURCH ST,MADISON,VA,22727,"http://maps.google.com/maps?q=115 CHURCH ST,+MADISON,+VA+22727&hl=en"
MANASSAS CITY POLICE DEPARTMENT,"NOVANT HEALTH - PRINCE WILLIAM MEDICAL CENTER 
												
													ENTRANCE TO WOMEN'S CENTER - OB/GYN",8700 SUDLEY ROAD,MANASSAS,VA,20110,"http://maps.google.com/maps?q=8700 SUDLEY ROAD,+MANASSAS,+VA+20110&hl=en"
MANASSAS PARK POLICE DEPARTMENT,MPPD COMMUNITY ROOM,329 MANASSAS DR,MANASSAS,VA,20111,"http://maps.google.com/maps?q=329 MANASSAS DR,+MANASSAS,+VA+20111&hl=en"
MARTINSVILLE POLICE DEPARTMENT,"MARTINSVILLE FIRE DEPARTMENT 
												
													FRONT ENTRANCE",65 WEST CHURCH ST.,MARTINSVILLE,VA,24112,"http://maps.google.com/maps?q=65 WEST CHURCH ST.,+MARTINSVILLE,+VA+24112&hl=en"
