Business Name,Address 1,Address 2,"City, State Zip",Map URL
WALGREEN CO.,3595 SW 22ND STREET,,"MIAMI, FL 33145",http://maps.google.com/maps?q=WALGREEN%20CO%2C3595%20SW%2022ND%20STREET%2C+MIAMI%2C+FL+33145
WALGREEN CO.,3895 W BROWARD BLVD,,"FORT LAUDERDALE, FL 33312",http://maps.google.com/maps?q=WALGREEN%20CO%2C3895%20W%20BROWARD%20BLVD%2C+FORT%20LAUDERDALE%2C+FL+33312
WALGREEN CO.,408 E MICHIGAN STREET,,"ORLANDO, FL 32806",http://maps.google.com/maps?q=WALGREEN%20CO%2C408%20E%20MICHIGAN%20STREET%2C+ORLANDO%2C+FL+32806
WALGREEN CO.,4150 N ATLANTIC AVE,,"COCOA BEACH, FL 32931",http://maps.google.com/maps?q=WALGREEN%20CO%2C4150%20N%20ATLANTIC%20AVE%2C+COCOA%20BEACH%2C+FL+32931
WALGREEN CO.,4340 S. FLORIDA AVE.,,"LAKELAND, FL 33813",http://maps.google.com/maps?q=WALGREEN%20CO%2C4340%20S.%20FLORIDA%20AVE.%2C+LAKELAND%2C+FL+33813
WALGREEN CO.,4895 PALM AVENUE,,"HIALEAH, FL 33012",http://maps.google.com/maps?q=WALGREEN%20CO%2C4895%20PALM%20AVENUE%2C+HIALEAH%2C+FL+33012
WALGREEN CO.,501 HAVENDALE BLVD,,"AUBURNDALE, FL 33823",http://maps.google.com/maps?q=WALGREEN%20CO%2C501%20HAVENDALE%20BLVD%2C+AUBURNDALE%2C+FL+33823
WALGREEN CO.,5420-9TH ST NORTH,,"ST PETERSBURG, FL 33703",http://maps.google.com/maps?q=WALGREEN%20CO%2C5420-9TH%20ST%20NORTH%2C+ST%20PETERSBURG%2C+FL+33703
WALGREEN CO.,5800 BEE RIDGE ROAD,,"SARASOTA, FL 34233",http://maps.google.com/maps?q=WALGREEN%20CO%2C5800%20BEE%20RIDGE%20ROAD%2C+SARASOTA%2C+FL+34233
WALGREEN CO.,6003 14TH ST W,,"BRADENTON, FL 34207",http://maps.google.com/maps?q=WALGREEN%20CO%2C6003%2014TH%20ST%20W%2C+BRADENTON%2C+FL+34207
WALGREEN CO.,6429 GALL BLVD,,"ZEPHYRHILLS, FL 33542",http://maps.google.com/maps?q=WALGREEN%20CO%2C6429%20GALL%20BLVD%2C+ZEPHYRHILLS%2C+FL+33542
WALGREEN CO.,699 E HIGHWAY 50,,"CLERMONT, FL 34711",http://maps.google.com/maps?q=WALGREEN%20CO%2C699%20E%20HIGHWAY%2050%2C+CLERMONT%2C+FL+34711
WALGREEN CO.,7150 W ATLANTIC BLVD,,"MARGATE, FL 33063",http://maps.google.com/maps?q=WALGREEN%20CO%2C7150%20W%20ATLANTIC%20BLVD%2C+MARGATE%2C+FL+33063
WALGREEN CO.,750 NW 119TH ST.,,"MIAMI, FL 33168",http://maps.google.com/maps?q=WALGREEN%20CO%2C750%20NW%20119TH%20ST.%2C+MIAMI%2C+FL+33168
WALGREEN CO.,7650 W SAND LAKE RD,,"ORLANDO, FL 32819",http://maps.google.com/maps?q=WALGREEN%20CO%2C7650%20W%20SAND%20LAKE%20RD%2C+ORLANDO%2C+FL+32819
WALGREEN CO.,805 CAPE CORAL PKY E,,"CAPE CORAL, FL 33904",http://maps.google.com/maps?q=WALGREEN%20CO%2C805%20CAPE%20CORAL%20PKY%20E%2C+CAPE%20CORAL%2C+FL+33904
WALGREEN CO.,8450 SW 24TH STREET,,"MIAMI, FL 33155",http://maps.google.com/maps?q=WALGREEN%20CO%2C8450%20SW%2024TH%20STREET%2C+MIAMI%2C+FL+33155
WALGREEN CO.,8900 TAMIAMI TRAIL NORTH,,"NAPLES, FL 34108",http://maps.google.com/maps?q=WALGREEN%20CO%2C8900%20TAMIAMI%20TRAIL%20NORTH%2C+NAPLES%2C+FL+34108
WALGREEN CO.,897 SAXON BLVD,,"ORANGE CITY, FL 32763",http://maps.google.com/maps?q=WALGREEN%20CO%2C897%20SAXON%20BLVD%2C+ORANGE%20CITY%2C+FL+32763
WALGREEN CO.,900 49TH STREET N,,"SAINT PETERSBURG, FL 33710",http://maps.google.com/maps?q=WALGREEN%20CO%2C900%2049TH%20STREET%20N%2C+SAINT%20PETERSBURG%2C+FL+33710
WALGREEN CO.,930 PROVIDENCE ROAD,,"BRANDON, FL 33511",http://maps.google.com/maps?q=WALGREEN%20CO%2C930%20PROVIDENCE%20ROAD%2C+BRANDON%2C+FL+33511
WELLCARE PHARMACY SERVICES INC,13733 U.S. HWY 441,,"LADY LAKE, FL 32159",http://maps.google.com/maps?q=WELLCARE%20PHARMACY%20SERVICES%20INC%2C13733%20U.S.%20HWY%20441%2C+LADY%20LAKE%2C+FL+32159
