Unnamed: 0,address,postal,state,lat,lng
3492, 11475 ROBINSON DRIVE NW,55433,MN,45.1797056,-93.3141807
3494,2220 RIVERSIDE AVENUE SOUTH,55454,MN,44.96745,-93.24069
3495, SUITE 100,55416,MN,44.965466,-93.34541
3496,1430 HIGHWAY 96,55110,MN,45.07918,-93.0393
3499, SUITE #110,48236,MI,42.396164,-82.90186
3500, 2799 W. GRAND BLVD.,48202,MI,42.3669921,-83.0848224
3501, 1411 EAST 31ST STREET,94602,CA,37.7985461,-122.2338896
3502,1004 SHOOTING PARK,61354,IL,41.338535,-89.11756
3507,1305 RANDALL RD.,60014,IL,42.2051337,-88.3378774
3513,207 W. JORDAN ST,62448,IL,38.99093,-88.16278
3514,230 S COMET DR.,60408,IL,41.25958,-88.20774
3522,47 S. LOCUST ST.,60950,IL,41.247673,-87.83336
3529,1800 E. HWY 50,34711,FL,28.5476164,-81.7249359
3532,8603 WEST HILLSBOROUGH AVE,33615,FL,27.996748,-82.58042
3535,1350 S HICKORY STREET,32901,FL,28.087395,-80.61354
3536, SUITE 102,32940,FL,28.1689129,-80.7718103
3539, SUITE B,93455,CA,34.915962,-120.462105
3540,10 EAST 81ST AVENUE,46410,IN,41.471073,-87.33784
3549,1375 WEST 86TH ST.,46260,IN,39.912228,-86.183464
3560,21 WEST MAIN STREET,46112,IN,39.84402,-86.4003
3562,2272 NORTH MAIN ST.,46307,IN,41.434162,-87.3647
3563,2340 W SYCAMORE,46901,IN,40.48776,-86.16392
3565,265 SO. SCATTERFIELD RD,46012,IN,40.114735,-85.65293
3570,3400 N CALUMET AVE,46383,IN,41.499092,-87.042404
3573,4480 FIRST AVE.,47710,IN,38.01968,-87.57403
3574,512 E. SEYMOUR ST.,47951,IN,40.767937,-87.441185
3575,512 SAGAMORE PKWY WEST,47906,IN,40.453182,-86.911545
3577,523 SOUTH STATE ROAD 67,46158,IN,39.604042,-86.37222
3578,5611 GEORGETOWN RD.,46254,IN,39.85361,-86.24001
3580,655 S. US HIGHWAY 31,46142,IN,39.6071571,-86.1108313
3582,7722 W STATE ROUTE 66,47630,IN,37.9311324,-87.3536504
3583,7915-C SOUTH EMERSON AVE,46237,IN,39.653255,-86.0827
3584,7990 E US HIGHWAY 36,46123,IN,39.762936,-86.39342
3589,600 SOUTH PINE ST,70634,LA,30.85401,-93.28905
3590,1000 15TH ST N,50548,IA,42.73196,-94.2301
3591,2101 N WALDRON ST SUITE A,67502,KS,38.077274,-97.894646
3592,"2606 ""L"" AVE",52627,IA,40.6257272,-91.3455188
3594,500 S. FREMONT STREET,51601,IA,40.7626198,-95.3893811
3597, 505 WEST 400 NORTH,84057,UT,40.3180136,-111.7293082
3598, SUITE 204,84604,UT,40.250587,-111.665695
3599,8326 NAAB RD,46260,IN,39.907608,-86.198326
3601,44045 RIVERSIDE PARKWAY,20176,VA,39.0771,-77.47814
3603, P.O.BOX 1025,95640,CA,38.353645,-120.9354
3608, PO BOX 90,14059,NY,42.831383,-78.63681
3609, PO BOX 228,62690,IL,39.501686,-89.76758
3610, 110 EAST STATE,62075,IL,39.3013653,-89.2872112
3611, 73-21 37TH ROAD,11372,NY,40.7484723,-73.8924611
3612, PO BOX 395,16134,PA,41.48458,-80.44175
3613, SUITE A,95691,CA,38.5740318,-121.5260865
3614, P.O. BOX 599,68450,NE,40.379185,-96.197266
3620, 280 EXEMPLA CIR,80026,CO,39.9695277,-105.0883511
3621, 16290 E QUINCY AVENUE,80015,CO,39.6379318,-104.8022435
3628, 2345 BENT WAY,80503,CO,40.1489296,-105.134821
3634, 1400 POTTERY AVENUE,98366,WA,47.526409,-122.656126
3635, 19379 7TH AVE NE,98370,WA,47.738641,-122.6449697
3638, FL 1,90027,CA,34.09815,-118.29542
3639, 1ST FL,92563,CA,33.6304929,-117.1716467
3641, SUITE 145,95066,CA,37.06157,-122.00747
3642, 1ST FL,93036,CA,34.2180468,-119.1509694
3645,1227 US HWY 127 S,40601,KY,38.17196,-84.89895
3646,1571 N DIXIE AVENUE,42701,KY,37.7281499,-85.8851869
3649,3097 TODDS RD.,40509,KY,38.009438,-84.42471
3653,560 N ESTRELLA PKWY STE B9 B10,85338,AZ,33.448277,-112.39253
3654," BLDG M, P O BOX 1059",74851,OK,35.4491764,-97.0911761
3655, 192 SOUTH 7TH ST,78580,TX,26.4811192,-97.7849934
3658,613 23RD STREET SUITE 110,41101,KY,38.47116,-82.63295
3660, PO BOX 99,98328,WA,46.8676206,-122.2691091
3661, SUITE 204,98374,WA,47.097168,-122.27674
3663, 20148 10TH AVE NE,98370,WA,47.746109,-122.6367667
3664, 1017 ELLINGTON STREET,93215,CA,35.7688735,-119.2540588
3666,1115 WEST MAIN STREET STE E-1,93458,CA,34.953354,-120.45196
3669, P.O. BOX 609,81140,CO,37.27496,-105.96029
3670, SUITE 1A,78738,TX,30.3079434,-97.9283063
3671,2301 HIGHWAY 71 SOUTH,51360,IA,43.4201555,-95.1311536
3673,927 WEST CHURCHILL STREET,55082,MN,45.047045,-92.8205034
3676,623 MC LEAN AVE,10705,NY,40.90938,-73.879654
3678,111 CALUMET AVE SW,57231,SD,44.387115,-97.54898
3680,104 W PARK AVENUE,57070,SD,43.17029,-97.0817
3681,741 SOUTH WASHINGTON AVE,57042,SD,43.9983848,-97.1131459
3686, SUITE 104B,95242,CA,38.1236058,-121.307218
3692,2 W FERN AVE,92373,CA,34.050377,-117.17894
3698,783 RIO DEL MAR BLVD STE 3,95003,CA,36.974007,-121.88811
3703, PO BOX 128,14739,NY,42.207794,-78.13412
3704, PO BOX 229,12047,NY,42.7709,-73.7005
3710,2601 RIVA RD.,21401,MD,38.9761,-76.55564
3715,402 SO. JEFFERSON STREET,21701,MD,39.407505,-77.42938
3716, SILVER HILL PLAZA,20747,MD,38.85351,-76.90941
3721,7955 TUCKERMAN LANE,20854,MD,39.040184,-77.15777
3723,9920 KEY WEST AVE,20850,MD,39.10177,-77.21048
3725, SUITE 130,78410,TX,27.856403,-97.63577
3727, 200 OHIO ST,14103,NY,43.2217137,-78.3967057
3728, SUITE 1H,84124,UT,40.6861129,-111.8574482
3731,705 SOUTH LEWIS STREET,30439,GA,32.384647,-82.0614
3732, ONE WYOMING ST,45409,OH,39.7430408,-84.1926701
3736, 81 ROCHESTER RD PO BOX 188,14105,NY,43.2047561,-78.4858069
3738, P O BOX 67,28124,NC,35.399445,-80.436226
3739, 620 N PUTNAM STREET,62550,IL,39.6318638,-89.016674
3743, NC BAPTIST HOSPITAL INC,27157,NC,36.0926473,-80.2732853
3744, SUITE B,58601,ND,46.902115,-102.78973
3745, PO BOX 376,13732,NY,42.070347,-76.151634
3746, 120 E MAIN STREET,97845,OR,44.4159192,-118.9542318
3749,100 SPRINGDALE RD,8003,NJ,39.862045,-74.97452
3750,107 EAST FIRST AVENUE,7203,NJ,40.660156,-74.263176
3751,1099 RTE. 33 HAMILTON SQUARE,8690,NJ,40.22847,-74.66676
3752, RAINTREE S/C,7728,NJ,40.24009,-74.30778
3754,24 S. BLACK HORSE PIKE,8059,NJ,39.8805684,-75.0869195
3759,307 EGG HARBOR RD,8080,NJ,39.76399,-75.08548
3760,3110 ROUTE 38,8054,NJ,39.9701777,-74.8755333
3762, WEST CALDWELL S/C,7006,NJ,40.849139,-74.2987946
3763, COURT STREET PLAZA,7030,NJ,40.73676,-74.0311
3764,600 KINGS HWY N,8034,NJ,39.9193752,-75.0129436
3767,9015 BERGENLINE AVENUE - 90TH STREET,7047,NJ,40.808548,-74.00191
3773, PO BOX 1128,27298,NC,35.853645,-79.578545
3774, STE #126,27262,NC,35.939995,-80.03427
3775,24 WESTGATE PKWY.,28806,NC,35.5934,-82.5753
3777, 2121 N. ROBINS DRIVE,84041,UT,41.0908467,-112.0004077
3778, 1756 SAGAMORE ROAD,44067,OH,41.3503062,-81.5772986
